"Name","Team","Age","ERA","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","xFIP","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","SIERA","RS/9","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Domingo German","Yankees","25","6.19","10.40","3.42","3.04","8.69","1.71",".244","1.35",".296","60.9 %","0.96","19.3 %","39.6 %","41.1 %","7.6 %","16.5 %","10.5 %","0.0 %","4.12","34.6 %","65.4 %","47.6 %","53.9 %","80.5 %","69.3 %","42.2 %","61.3 %","14.6 %","26.2 %","8.6 %","3.84","4.87","17.6 %","53.7 %","26.0 %","20.3 %","17.2 %","43.8 %","39.1 %","17149"
"Robbie Erlin","Padres","27","6.23","7.03","1.28","5.50","11.82","1.28",".307","1.46",".349","53.7 %","1.30","28.2 %","40.5 %","31.3 %","13.1 %","13.1 %","12.7 %","50.0 %","3.81","34.1 %","68.8 %","49.8 %","72.8 %","86.2 %","81.2 %","45.3 %","63.9 %","9.4 %","17.7 %","3.2 %","4.13","4.47","14.5 %","38.1 %","38.6 %","23.4 %","17.8 %","42.6 %","39.6 %","10354"
"Jeff Samardzija","Giants","33","6.25","6.04","5.24","1.15","9.47","1.21",".263","1.63",".287","64.6 %","0.64","23.6 %","29.9 %","46.5 %","11.9 %","9.0 %","7.0 %","40.0 %","6.18","28.5 %","69.7 %","44.5 %","72.9 %","88.1 %","82.1 %","38.9 %","55.1 %","8.0 %","14.5 %","12.6 %","5.96","4.23","1.9 %","35.6 %","39.6 %","24.8 %","15.4 %","53.0 %","31.5 %","3254"
"Drew Pomeranz","Red Sox","29","6.31","7.71","5.61","1.38","10.69","1.75",".296","1.81",".336","71.6 %","0.97","21.7 %","38.5 %","39.8 %","9.4 %","15.6 %","9.7 %","0.0 %","5.49","27.5 %","66.0 %","41.9 %","70.2 %","92.7 %","83.4 %","37.4 %","52.9 %","7.0 %","18.3 %","13.3 %","5.40","4.03","5.0 %","47.5 %","30.3 %","22.2 %","18.5 %","43.8 %","37.7 %","11426"
"Jorge Lopez","Royals","25","6.35","6.09","2.38","2.56","10.85","1.32",".295","1.47",".324","61.4 %","1.12","24.3 %","40.0 %","35.7 %","2.4 %","12.2 %","8.7 %","100.0 %","4.68","30.7 %","59.9 %","44.1 %","69.5 %","91.1 %","82.9 %","45.8 %","58.4 %","7.5 %","15.4 %","6.0 %","4.78","5.56","9.4 %","44.0 %","27.6 %","28.5 %","13.8 %","44.0 %","42.2 %","14527"
"Erasmo Ramirez","Mariners","28","6.50","6.50","2.36","2.75","10.25","2.76",".278","1.40",".271","67.5 %","1.00","20.8 %","39.6 %","39.6 %","9.8 %","23.0 %","3.3 %","0.0 %","4.91","33.6 %","68.2 %","49.0 %","72.1 %","89.1 %","82.7 %","44.6 %","67.3 %","8.5 %","16.3 %","5.9 %","4.70","3.94","10.4 %","44.2 %","33.1 %","22.7 %","15.6 %","45.5 %","39.0 %","10314"
"Jaime Garcia","- - -","31","6.57","8.32","4.96","1.68","10.07","1.75",".277","1.67",".317","65.0 %","1.08","18.5 %","42.3 %","39.2 %","6.8 %","16.2 %","3.8 %","66.7 %","5.09","26.3 %","65.2 %","42.2 %","58.8 %","91.8 %","79.7 %","41.0 %","53.9 %","8.6 %","19.9 %","11.9 %","4.97","3.94","8.0 %","51.0 %","29.7 %","19.3 %","13.0 %","45.3 %","41.7 %","8137"
"Brett Kennedy","Padres","23","6.75","6.08","4.05","1.50","12.15","2.03",".316","1.80",".333","72.1 %","1.13","24.4 %","40.0 %","35.6 %","3.1 %","18.8 %","13.9 %","0.0 %","5.37","28.9 %","74.0 %","46.1 %","71.1 %","90.9 %","83.2 %","38.2 %","53.9 %","7.8 %","14.1 %","9.4 %","5.36","2.70","4.7 %","36.5 %","32.3 %","31.3 %","17.7 %","43.8 %","38.5 %","17877"
"Jefry Rodriguez","Nationals","24","6.75","7.22","6.52","1.11","8.38","1.63",".245","1.66",".266","62.9 %","1.09","19.6 %","42.0 %","38.4 %","11.6 %","16.3 %","2.1 %","0.0 %","5.80","30.2 %","64.4 %","44.2 %","71.2 %","87.1 %","80.7 %","41.1 %","47.8 %","8.5 %","17.4 %","15.7 %","5.85","5.12","1.7 %","36.2 %","33.6 %","30.2 %","17.2 %","54.3 %","28.5 %","17018"
"Martin Perez","Rangers","27","6.78","5.45","3.75","1.45","12.96","1.82",".338","1.86",".358","64.7 %","1.68","21.2 %","49.4 %","29.4 %","7.6 %","19.0 %","9.8 %","66.7 %","5.04","28.7 %","68.0 %","44.8 %","72.6 %","92.2 %","84.8 %","40.8 %","58.6 %","6.8 %","12.9 %","8.9 %","5.19","4.24","4.0 %","39.0 %","36.4 %","24.6 %","16.5 %","40.8 %","42.7 %","6902"
