"Name","Team","Age","ERA","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","xFIP","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","SIERA","RS/9","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Miles Mikolas","Cardinals","29","2.83","6.55","1.30","5.03","8.34","0.72",".241","1.07",".279","76.2 %","1.73","22.2 %","49.3 %","28.5 %","9.8 %","9.2 %","7.3 %","16.7 %","3.67","36.6 %","68.8 %","52.1 %","70.3 %","87.8 %","81.4 %","48.0 %","70.8 %","9.7 %","18.1 %","3.6 %","3.93","5.88","14.5 %","39.8 %","32.3 %","28.0 %","18.9 %","48.6 %","32.6 %","9803"
"Kyle Freeland","Rockies","25","2.85","7.70","3.11","2.47","8.10","0.76",".237","1.25",".285","82.8 %","1.33","19.4 %","46.0 %","34.5 %","11.4 %","8.5 %","7.1 %","30.8 %","4.22","30.7 %","67.8 %","45.1 %","70.7 %","86.6 %","80.0 %","39.0 %","62.3 %","9.0 %","20.5 %","8.3 %","4.35","4.49","12.2 %","37.7 %","39.2 %","23.2 %","20.0 %","48.4 %","31.6 %","16256"
"Mike Foltynewicz","Braves","26","2.85","9.93","3.34","2.97","6.39","0.84",".194","1.08",".251","77.1 %","1.12","18.5 %","43.1 %","38.4 %","12.4 %","9.6 %","6.0 %","0.0 %","3.77","26.8 %","63.7 %","43.4 %","60.4 %","84.3 %","76.2 %","45.1 %","61.4 %","10.3 %","27.2 %","9.1 %","3.77","5.21","18.0 %","40.9 %","33.2 %","25.9 %","18.4 %","46.5 %","35.1 %","10811"
"Gerrit Cole","Astros","27","2.88","12.40","2.88","4.31","6.42","0.85",".196","1.03",".286","77.9 %","0.84","21.3 %","36.0 %","42.7 %","12.1 %","10.0 %","6.3 %","28.6 %","3.04","32.1 %","68.8 %","49.4 %","55.2 %","80.0 %","71.5 %","47.1 %","63.5 %","14.1 %","34.5 %","8.0 %","2.91","6.06","26.5 %","33.9 %","39.4 %","26.8 %","18.6 %","50.4 %","31.0 %","13125"
"Corey Kluber","Indians","32","2.89","9.29","1.42","6.53","7.49","1.05",".222","0.99",".276","77.9 %","1.34","22.3 %","44.4 %","33.3 %","9.9 %","13.1 %","5.1 %","50.0 %","3.08","35.0 %","65.7 %","48.1 %","55.9 %","88.7 %","75.0 %","42.5 %","63.2 %","12.0 %","26.4 %","4.0 %","3.23","5.94","22.3 %","40.6 %","32.0 %","27.5 %","15.3 %","48.1 %","36.6 %","2429"
"Dereck Rodriguez","Giants","26","2.89","6.59","2.65","2.48","7.47","0.72",".222","1.13",".257","78.1 %","1.07","23.2 %","39.6 %","37.2 %","11.5 %","7.4 %","3.8 %","25.0 %","4.57","30.5 %","65.4 %","45.3 %","71.3 %","87.7 %","81.4 %","42.5 %","57.4 %","8.5 %","17.9 %","7.2 %","4.62","4.42","10.7 %","37.5 %","35.7 %","26.8 %","12.5 %","47.9 %","39.6 %","14509"
"Anibal Sanchez","Braves","34","2.90","8.96","2.63","3.41","7.07","1.01",".211","1.08",".258","78.7 %","1.22","17.2 %","45.5 %","37.3 %","11.4 %","11.4 %","4.3 %","20.0 %","3.77","32.1 %","65.7 %","46.0 %","66.4 %","84.7 %","77.2 %","41.3 %","66.5 %","10.5 %","24.6 %","7.2 %","3.79","3.43","17.4 %","40.7 %","32.1 %","27.2 %","26.1 %","45.6 %","28.3 %","3284"
"Mike Clevinger","Indians","27","3.02","9.32","3.02","3.09","7.38","0.95",".222","1.16",".280","79.8 %","1.03","20.2 %","40.5 %","39.3 %","11.2 %","10.2 %","5.7 %","14.3 %","3.86","30.4 %","66.3 %","46.2 %","59.9 %","82.4 %","74.1 %","43.8 %","64.1 %","12.0 %","25.6 %","8.3 %","3.86","5.81","17.3 %","36.7 %","35.2 %","28.1 %","18.8 %","46.3 %","34.8 %","12808"
"Noah Syndergaard","Mets","25","3.03","9.04","2.27","3.97","8.63","0.52",".247","1.21",".320","76.6 %","1.84","24.4 %","49.0 %","26.7 %","9.5 %","7.8 %","10.3 %","12.5 %","3.29","36.5 %","70.0 %","50.5 %","55.4 %","85.8 %","73.0 %","41.8 %","59.0 %","13.6 %","24.1 %","6.1 %","3.55","5.48","18.0 %","40.9 %","34.8 %","24.4 %","25.3 %","52.8 %","21.9 %","11762"
"Trevor Williams","Pirates","26","3.11","6.64","2.90","2.29","7.70","0.79",".227","1.18",".261","76.6 %","1.09","21.7 %","40.8 %","37.5 %","9.0 %","8.0 %","8.8 %","21.4 %","4.54","31.6 %","67.1 %","46.5 %","71.3 %","90.6 %","83.0 %","42.1 %","60.6 %","7.9 %","18.0 %","7.9 %","4.68","4.11","10.1 %","37.2 %","34.9 %","27.9 %","20.4 %","50.4 %","29.3 %","16977"
"Charlie Morton","Astros","34","3.13","10.83","3.45","3.14","7.01","0.97",".211","1.16",".283","79.6 %","1.56","22.2 %","47.4 %","30.3 %","8.9 %","14.5 %","7.2 %","25.0 %","3.42","28.8 %","63.6 %","44.4 %","55.3 %","83.1 %","73.1 %","44.9 %","61.0 %","11.9 %","28.9 %","9.2 %","3.52","5.66","19.7 %","40.2 %","34.9 %","24.9 %","21.1 %","49.2 %","29.8 %","4676"
"Patrick Corbin","Diamondbacks","28","3.15","11.07","2.16","5.13","7.29","0.68",".217","1.05",".302","74.7 %","1.79","24.3 %","48.5 %","27.2 %","5.9 %","11.1 %","5.8 %","0.0 %","2.61","38.0 %","64.3 %","47.0 %","52.6 %","82.7 %","66.8 %","34.4 %","64.4 %","15.6 %","30.8 %","6.0 %","2.91","3.78","24.8 %","40.9 %","35.9 %","23.2 %","16.4 %","41.9 %","41.7 %","9323"
"Chris Bassitt","Athletics","29","3.19","6.87","3.68","1.87","8.35","0.74",".236","1.34",".274","71.1 %","1.23","23.3 %","42.2 %","34.5 %","7.5 %","7.5 %","10.2 %","0.0 %","4.91","26.0 %","67.0 %","45.1 %","78.4 %","89.9 %","86.3 %","46.5 %","62.4 %","6.2 %","17.3 %","9.3 %","4.90","3.19","8.0 %","37.1 %","37.9 %","25.0 %","15.5 %","50.9 %","33.6 %","12304"
"Michael Wacha","Cardinals","26","3.20","7.58","3.84","1.97","7.26","0.96",".215","1.23",".249","75.0 %","1.58","29.5 %","43.2 %","27.4 %","7.6 %","13.6 %","6.7 %","40.0 %","4.12","27.7 %","68.7 %","45.2 %","67.3 %","84.6 %","78.5 %","42.6 %","53.0 %","9.7 %","20.0 %","10.1 %","4.60","5.87","9.9 %","48.0 %","29.3 %","22.8 %","15.9 %","41.5 %","42.7 %","14078"
"Jameson Taillon","Pirates","26","3.20","8.43","2.17","3.89","8.43","0.94",".244","1.18",".298","79.8 %","1.47","22.3 %","46.2 %","31.5 %","9.4 %","11.7 %","6.8 %","36.4 %","3.58","33.5 %","67.3 %","48.8 %","65.3 %","85.6 %","78.0 %","45.1 %","63.7 %","10.7 %","22.8 %","5.9 %","3.77","4.62","16.9 %","38.6 %","37.9 %","23.5 %","19.0 %","50.9 %","30.1 %","11674"
"Zack Greinke","Diamondbacks","34","3.21","8.62","1.86","4.63","7.84","1.21",".229","1.08",".272","80.2 %","1.42","23.0 %","45.1 %","31.9 %","9.1 %","15.0 %","2.6 %","25.0 %","3.44","34.7 %","62.0 %","45.2 %","67.7 %","83.4 %","76.0 %","38.5 %","67.0 %","10.8 %","23.7 %","5.1 %","3.60","4.77","18.6 %","41.6 %","37.2 %","21.2 %","15.7 %","43.3 %","41.0 %","1943"
"Johnny Cueto","Giants","32","3.23","6.45","2.21","2.92","7.81","1.36",".235","1.11",".253","85.2 %","1.18","19.5 %","43.5 %","37.0 %","15.8 %","14.0 %","7.5 %","25.0 %","4.52","28.0 %","70.8 %","45.7 %","67.7 %","86.7 %","79.9 %","41.4 %","63.6 %","9.2 %","17.8 %","6.1 %","4.47","4.42","11.7 %","42.4 %","33.5 %","24.1 %","22.2 %","44.9 %","32.9 %","6893"
"Madison Bumgarner","Giants","28","3.26","7.57","2.98","2.53","8.19","0.97",".235","1.24",".274","78.6 %","1.22","22.4 %","42.7 %","35.0 %","8.1 %","10.3 %","6.6 %","0.0 %","4.32","31.4 %","66.2 %","46.5 %","65.8 %","89.0 %","80.2 %","43.6 %","63.7 %","9.2 %","19.8 %","7.8 %","4.42","2.78","12.0 %","45.2 %","35.3 %","19.5 %","17.8 %","40.6 %","41.6 %","5524"
"Brad Keller","Royals","22","3.28","6.33","3.28","1.93","8.85","0.46",".258","1.35",".306","76.0 %","1.91","19.4 %","52.9 %","27.7 %","9.0 %","6.0 %","5.2 %","60.0 %","4.30","32.3 %","66.8 %","46.4 %","63.9 %","91.3 %","80.0 %","40.9 %","60.3 %","9.3 %","16.8 %","8.7 %","4.61","4.88","8.1 %","44.5 %","30.6 %","24.9 %","19.4 %","48.6 %","32.0 %","15734"
"Zack Wheeler","Mets","28","3.31","8.84","2.71","3.25","7.40","0.69",".221","1.12",".279","74.6 %","1.25","20.4 %","44.2 %","35.4 %","13.4 %","8.1 %","4.2 %","21.4 %","3.81","33.5 %","68.1 %","48.5 %","67.6 %","84.7 %","78.0 %","43.3 %","62.1 %","10.7 %","24.1 %","7.4 %","3.87","5.33","16.7 %","37.2 %","34.8 %","28.0 %","23.4 %","51.8 %","24.8 %","10310"
"Mike Fiers","- - -","33","3.31","7.26","1.97","3.68","8.48","1.60",".244","1.16",".265","85.7 %","0.93","17.0 %","39.9 %","43.1 %","10.9 %","13.6 %","5.9 %","40.0 %","4.49","29.9 %","65.6 %","46.1 %","70.4 %","87.4 %","81.4 %","45.4 %","66.0 %","8.6 %","19.5 %","5.3 %","4.26","4.70","14.2 %","44.0 %","34.1 %","21.9 %","15.3 %","46.3 %","38.4 %","7754"
"Shohei Ohtani","Angels","23","3.31","10.97","3.83","2.86","6.62","1.05",".202","1.16",".269","79.9 %","1.07","24.0 %","39.2 %","36.8 %","13.0 %","13.0 %","4.1 %","0.0 %","3.53","27.4 %","66.3 %","44.3 %","40.9 %","78.9 %","65.6 %","43.5 %","55.0 %","15.2 %","29.9 %","10.4 %","3.65","5.05","19.4 %","34.4 %","34.4 %","31.2 %","20.0 %","43.2 %","36.8 %","19755"
"Jon Lester","Cubs","34","3.32","7.38","3.17","2.33","8.62","1.19",".252","1.31",".290","80.3 %","1.04","25.8 %","37.7 %","36.4 %","8.8 %","12.4 %","4.5 %","25.0 %","4.43","27.2 %","68.0 %","43.8 %","67.8 %","87.9 %","80.5 %","40.6 %","57.4 %","8.5 %","19.6 %","8.4 %","4.57","6.14","11.2 %","42.8 %","36.5 %","20.7 %","18.5 %","49.6 %","31.9 %","4930"
"Edwin Jackson","Athletics","34","3.33","6.65","3.62","1.84","7.34","1.17",".219","1.22",".240","79.2 %","0.92","23.8 %","36.4 %","39.8 %","13.1 %","11.2 %","6.1 %","20.0 %","4.88","29.6 %","71.8 %","46.5 %","66.5 %","90.4 %","81.3 %","40.0 %","54.6 %","8.7 %","17.9 %","9.7 %","4.98","5.18","8.1 %","40.9 %","38.0 %","21.2 %","19.7 %","43.4 %","36.9 %","1841"
"Carlos Carrasco","Indians","31","3.33","10.66","1.88","5.67","8.15","1.01",".237","1.11",".314","75.3 %","1.43","21.0 %","46.5 %","32.4 %","8.2 %","13.2 %","6.1 %","0.0 %","2.92","36.6 %","67.5 %","49.5 %","46.2 %","86.6 %","69.2 %","41.8 %","64.6 %","15.2 %","29.1 %","5.1 %","3.04","5.35","24.0 %","39.8 %","35.1 %","25.2 %","14.4 %","46.3 %","39.4 %","6632"
"Touki Toussaint","Braves","22","3.33","9.67","5.67","1.71","5.33","0.33",".174","1.22",".242","74.4 %","2.07","27.0 %","49.2 %","23.8 %","13.3 %","6.7 %","0.0 %","0.0 %","4.04","29.6 %","47.6 %","36.5 %","63.8 %","81.0 %","72.3 %","38.1 %","52.3 %","10.1 %","26.1 %","15.3 %","4.61","5.00","10.8 %","39.7 %","30.2 %","30.2 %","23.8 %","42.9 %","33.3 %","16929"
"Jack Flaherty","Cardinals","22","3.34","10.85","3.52","3.08","6.44","1.19",".198","1.11",".257","79.3 %","1.14","21.2 %","42.1 %","36.8 %","14.4 %","15.2 %","4.6 %","0.0 %","3.58","30.9 %","66.9 %","46.0 %","54.7 %","81.2 %","70.8 %","41.8 %","57.2 %","13.4 %","29.6 %","9.6 %","3.57","4.41","20.0 %","43.5 %","33.6 %","22.9 %","19.3 %","44.6 %","36.1 %","17479"
"Ryne Stanek","Rays","26","3.38","11.93","3.83","3.12","6.30","1.35",".194","1.13",".259","82.5 %","0.61","13.2 %","33.0 %","53.8 %","14.3 %","12.2 %","13.3 %","0.0 %","3.88","32.7 %","75.0 %","51.0 %","48.4 %","79.9 %","68.4 %","43.1 %","58.0 %","16.1 %","32.7 %","10.5 %","3.46","6.75","22.2 %","44.0 %","34.1 %","22.0 %","13.2 %","47.3 %","39.6 %","15947"
"Ross Stripling","Dodgers","28","3.39","10.07","1.35","7.44","9.31","1.52",".261","1.18",".324","84.5 %","1.46","21.7 %","46.4 %","31.9 %","10.6 %","19.1 %","2.9 %","50.0 %","2.86","32.8 %","65.4 %","47.3 %","61.2 %","86.2 %","76.6 %","44.7 %","69.4 %","11.1 %","27.2 %","3.7 %","3.08","4.57","23.5 %","40.2 %","34.9 %","24.9 %","16.6 %","49.5 %","33.9 %","13273"
"Luis Severino","Yankees","24","3.39","10.35","2.16","4.78","8.14","0.89",".237","1.14",".314","75.0 %","1.25","25.9 %","41.1 %","33.0 %","10.2 %","11.4 %","4.3 %","33.3 %","3.10","32.7 %","68.3 %","49.6 %","61.1 %","82.5 %","75.1 %","47.4 %","69.0 %","12.4 %","28.2 %","5.9 %","3.26","6.54","22.3 %","35.6 %","35.8 %","28.7 %","19.5 %","45.4 %","35.2 %","15890"
"Carlos Martinez","Cardinals","26","3.41","8.79","4.40","2.00","7.98","0.45",".231","1.38",".298","73.2 %","1.58","18.9 %","49.6 %","31.4 %","14.8 %","5.7 %","9.4 %","14.3 %","4.45","31.7 %","64.6 %","46.9 %","64.1 %","86.7 %","78.5 %","46.2 %","60.5 %","10.1 %","22.0 %","11.0 %","4.47","4.75","11.0 %","39.0 %","35.5 %","25.4 %","20.6 %","41.8 %","37.6 %","11682"
"Jaime Barria","Angels","21","3.41","6.82","3.27","2.09","8.14","1.18",".242","1.27",".271","82.1 %","0.86","19.6 %","37.1 %","43.3 %","13.9 %","10.2 %","3.5 %","0.0 %","4.99","31.4 %","67.1 %","45.4 %","65.8 %","85.4 %","77.2 %","39.5 %","55.3 %","10.4 %","18.3 %","8.8 %","4.84","6.19","9.5 %","41.8 %","37.1 %","21.0 %","16.9 %","46.5 %","36.6 %","18356"
"Kyle Hendricks","Cubs","28","3.44","7.28","1.99","3.66","8.32","0.99",".242","1.15",".281","75.2 %","1.49","21.4 %","47.0 %","31.6 %","9.8 %","12.0 %","4.4 %","26.7 %","3.87","32.8 %","58.2 %","44.1 %","70.6 %","85.2 %","79.1 %","44.4 %","65.0 %","9.2 %","19.8 %","5.4 %","4.03","5.43","14.4 %","40.5 %","33.8 %","25.8 %","22.4 %","47.7 %","29.9 %","12049"
"Jarlin Garcia","Marlins","25","3.44","5.82","3.44","1.69","6.09","1.85",".189","1.06",".172","84.0 %","1.00","21.2 %","39.4 %","39.4 %","5.1 %","17.9 %","5.1 %","0.0 %","4.91","25.7 %","61.2 %","41.0 %","71.1 %","86.9 %","81.2 %","43.1 %","50.4 %","7.7 %","16.3 %","9.6 %","5.15","5.03","6.7 %","38.0 %","45.0 %","17.0 %","14.0 %","48.0 %","38.0 %","18282"
"Sandy Alcantara","Marlins","22","3.44","7.94","6.09","1.30","6.62","0.79",".207","1.41",".250","80.8 %","1.31","15.9 %","47.7 %","36.4 %","15.6 %","9.4 %","4.8 %","33.3 %","5.16","28.4 %","65.5 %","43.6 %","61.1 %","85.5 %","76.1 %","40.9 %","61.6 %","10.4 %","20.6 %","15.8 %","5.42","3.71","4.8 %","48.4 %","25.3 %","26.4 %","20.9 %","44.0 %","35.2 %","18684"
"Jeremy Hellickson","Nationals","31","3.45","6.41","1.97","3.25","7.69","1.08",".228","1.07",".252","71.7 %","1.39","21.1 %","45.9 %","33.0 %","18.0 %","12.4 %","4.0 %","28.6 %","4.27","31.8 %","64.3 %","46.5 %","73.4 %","87.3 %","82.1 %","45.1 %","67.0 %","8.3 %","17.6 %","5.4 %","4.33","4.34","12.2 %","43.3 %","37.9 %","18.8 %","20.9 %","52.7 %","26.4 %","4371"
"Jhoulys Chacin","Brewers","30","3.50","7.29","3.32","2.20","7.15","0.84",".214","1.16",".250","72.5 %","1.18","22.0 %","42.2 %","35.7 %","7.3 %","9.3 %","3.9 %","38.9 %","4.47","27.1 %","62.6 %","43.0 %","63.7 %","89.2 %","80.4 %","44.9 %","58.4 %","8.4 %","19.6 %","8.9 %","4.59","4.67","10.7 %","43.6 %","34.8 %","21.7 %","18.1 %","45.3 %","36.6 %","2608"
"Mike Soroka","Braves","20","3.51","7.36","2.45","3.00","10.52","0.35",".283","1.44",".345","64.6 %","1.85","32.1 %","44.0 %","23.8 %","0.0 %","5.0 %","13.5 %","0.0 %","3.63","31.6 %","65.9 %","46.8 %","59.2 %","89.0 %","77.8 %","44.3 %","57.5 %","10.4 %","18.6 %","6.2 %","4.17","5.96","12.4 %","50.6 %","24.7 %","24.7 %","14.1 %","56.5 %","29.4 %","18383"
"Adrian Sampson","Rangers","26","3.57","5.56","1.59","3.50","7.94","1.99",".238","1.06",".231","84.2 %","0.74","21.7 %","33.3 %","44.9 %","6.5 %","16.1 %","17.4 %","0.0 %","4.98","33.0 %","83.9 %","52.8 %","85.9 %","85.6 %","85.7 %","39.0 %","50.0 %","7.6 %","15.6 %","4.4 %","4.79","1.59","11.1 %","48.6 %","34.3 %","17.1 %","14.3 %","45.7 %","40.0 %","13339"
"David Price","Red Sox","32","3.58","9.05","2.56","3.54","7.72","1.28",".228","1.14",".274","77.3 %","1.02","20.6 %","40.1 %","39.3 %","13.2 %","13.2 %","5.7 %","25.0 %","3.95","30.9 %","67.9 %","47.3 %","68.5 %","86.2 %","79.8 %","44.3 %","62.3 %","9.6 %","24.5 %","6.9 %","3.82","5.22","17.6 %","40.4 %","35.3 %","24.3 %","19.4 %","48.5 %","32.2 %","3184"
"Sean Manaea","Athletics","26","3.59","6.05","1.79","3.38","7.90","1.18",".230","1.08",".247","75.2 %","1.26","21.1 %","44.0 %","35.0 %","9.4 %","12.3 %","7.9 %","35.3 %","4.32","34.0 %","69.0 %","50.8 %","64.6 %","89.5 %","80.8 %","48.1 %","64.4 %","9.7 %","16.5 %","4.9 %","4.46","4.71","11.6 %","40.5 %","34.0 %","25.5 %","15.8 %","46.6 %","37.6 %","15873"
"John Gant","Cardinals","25","3.61","7.49","4.44","1.69","7.30","0.74",".217","1.30",".258","71.3 %","1.35","22.7 %","44.4 %","32.9 %","7.7 %","8.8 %","7.3 %","50.0 %","4.58","29.6 %","66.1 %","46.3 %","62.9 %","82.9 %","75.9 %","45.6 %","61.1 %","11.2 %","19.6 %","11.6 %","4.90","4.16","8.0 %","43.5 %","29.7 %","26.9 %","14.1 %","42.1 %","43.8 %","13684"
"Kyle Gibson","Twins","30","3.62","8.19","3.62","2.27","8.10","1.05",".238","1.30",".285","75.5 %","1.78","22.2 %","49.8 %","28.0 %","10.3 %","14.8 %","6.5 %","30.0 %","3.91","32.2 %","67.7 %","44.8 %","58.1 %","88.2 %","74.3 %","35.6 %","57.6 %","11.5 %","21.7 %","9.6 %","4.25","4.12","12.1 %","44.7 %","34.6 %","20.7 %","19.5 %","41.5 %","39.0 %","10123"
"Jordan Montgomery","Yankees","25","3.62","7.57","3.95","1.92","8.23","0.99",".240","1.35",".282","79.3 %","1.19","16.0 %","45.7 %","38.3 %","19.4 %","9.7 %","10.8 %","0.0 %","4.67","33.3 %","66.7 %","47.0 %","69.7 %","84.7 %","78.4 %","41.1 %","60.3 %","10.2 %","19.8 %","10.3 %","4.73","7.90","9.5 %","50.6 %","29.6 %","19.8 %","18.5 %","53.1 %","28.4 %","16511"
"Wade LeBlanc","Mariners","33","3.64","7.16","2.24","3.19","8.19","1.33",".240","1.16",".267","74.7 %","0.86","20.9 %","36.6 %","42.5 %","7.5 %","11.8 %","6.8 %","60.0 %","4.44","34.0 %","63.4 %","45.9 %","72.8 %","84.3 %","79.2 %","40.3 %","61.8 %","9.6 %","19.6 %","6.2 %","4.37","4.85","13.5 %","45.4 %","32.1 %","22.5 %","18.4 %","50.8 %","30.8 %","5221"
"CC Sabathia","Yankees","37","3.65","8.24","3.00","2.75","8.82","1.12",".249","1.31",".295","75.5 %","1.26","20.3 %","44.4 %","35.3 %","12.3 %","11.7 %","14.7 %","50.0 %","4.30","34.0 %","67.2 %","47.5 %","63.4 %","87.6 %","77.3 %","40.7 %","60.8 %","10.8 %","21.1 %","7.7 %","4.24","6.00","13.4 %","44.3 %","34.6 %","21.2 %","25.1 %","46.4 %","28.5 %","404"
"J.A. Happ","- - -","35","3.65","9.78","2.58","3.78","7.60","1.37",".223","1.13",".272","74.9 %","0.95","17.4 %","40.1 %","42.4 %","14.4 %","13.4 %","7.9 %","33.3 %","3.88","31.7 %","71.3 %","47.6 %","66.5 %","86.1 %","78.3 %","40.1 %","60.9 %","10.4 %","26.3 %","7.0 %","3.64","6.23","19.4 %","37.4 %","34.2 %","28.4 %","20.5 %","48.6 %","30.9 %","7410"
"Alex Wood","Dodgers","27","3.65","7.97","2.37","3.36","8.57","0.85",".245","1.22",".295","71.1 %","1.72","22.2 %","49.2 %","28.6 %","6.4 %","11.2 %","8.8 %","12.5 %","3.72","35.9 %","67.8 %","48.5 %","64.9 %","89.0 %","78.2 %","39.5 %","69.1 %","10.6 %","21.1 %","6.3 %","3.92","5.11","14.8 %","45.8 %","33.0 %","21.1 %","14.8 %","46.7 %","38.4 %","13781"
"Garrett Richards","Angels","30","3.66","10.26","4.01","2.56","7.55","1.30",".221","1.28",".277","67.0 %","1.57","19.4 %","49.3 %","31.3 %","12.7 %","17.5 %","9.1 %","100.0 %","3.62","28.2 %","61.7 %","43.0 %","48.8 %","88.0 %","73.6 %","44.2 %","54.9 %","11.4 %","26.9 %","10.5 %","3.88","5.90","16.4 %","40.6 %","30.7 %","28.7 %","16.8 %","43.6 %","39.6 %","9784"
"Derek Holland","Giants","31","3.67","8.52","3.56","2.39","8.18","1.00",".237","1.31",".287","75.2 %","1.08","24.0 %","39.6 %","36.5 %","11.4 %","10.8 %","6.7 %","8.3 %","4.21","30.1 %","67.1 %","46.5 %","67.9 %","85.1 %","78.9 %","44.4 %","62.2 %","9.8 %","22.3 %","9.3 %","4.35","4.23","13.0 %","40.5 %","34.3 %","25.3 %","17.6 %","43.9 %","38.5 %","4141"
"Mike Montgomery","Cubs","28","3.69","6.45","2.58","2.50","9.58","0.74",".269","1.35",".312","74.9 %","1.75","24.3 %","48.2 %","27.5 %","4.7 %","9.4 %","6.0 %","14.3 %","4.21","30.6 %","63.8 %","45.4 %","65.0 %","86.7 %","78.6 %","44.8 %","61.4 %","9.7 %","16.7 %","6.7 %","4.45","4.24","10.0 %","42.7 %","29.8 %","27.5 %","17.4 %","47.2 %","35.4 %","4869"
"Rich Hill","Dodgers","38","3.69","10.12","2.67","3.79","7.38","1.37",".218","1.12",".269","77.2 %","0.98","21.0 %","39.1 %","39.9 %","15.6 %","14.8 %","6.1 %","22.2 %","3.68","30.8 %","64.1 %","47.1 %","66.4 %","83.4 %","77.7 %","48.9 %","65.1 %","10.5 %","27.3 %","7.2 %","3.55","6.43","20.1 %","42.4 %","32.6 %","25.1 %","20.2 %","37.2 %","42.7 %","4806"
"Austin Bibens-Dirkx","Rangers","33","3.71","6.88","2.38","2.89","9.53","0.79",".273","1.32",".320","73.7 %","0.89","30.8 %","32.7 %","36.5 %","10.5 %","7.9 %","8.8 %","0.0 %","4.62","35.5 %","70.1 %","48.7 %","65.6 %","90.1 %","79.1 %","38.1 %","69.0 %","10.2 %","17.9 %","6.2 %","4.56","3.18","11.7 %","44.3 %","29.3 %","26.4 %","18.9 %","41.5 %","39.6 %","9559"
"Dallas Keuchel","Astros","30","3.74","6.73","2.55","2.64","9.28","0.79",".259","1.31",".300","72.8 %","2.20","22.0 %","53.7 %","24.4 %","8.8 %","11.3 %","7.7 %","40.0 %","3.84","33.0 %","65.4 %","45.1 %","72.6 %","89.2 %","81.6 %","37.5 %","60.1 %","8.3 %","17.5 %","6.6 %","4.15","4.66","10.9 %","44.9 %","31.9 %","23.2 %","22.4 %","49.5 %","28.1 %","9434"
"Stephen Strasburg","Nationals","29","3.74","10.80","2.63","4.11","8.17","1.25",".237","1.20",".309","75.7 %","1.28","22.3 %","43.6 %","34.1 %","7.0 %","15.7 %","8.8 %","20.0 %","3.28","32.4 %","64.4 %","46.2 %","61.0 %","82.9 %","74.2 %","42.9 %","61.0 %","11.9 %","28.7 %","7.0 %","3.33","5.95","21.7 %","36.3 %","39.2 %","24.6 %","19.0 %","48.3 %","32.8 %","10131"
"Masahiro Tanaka","Yankees","29","3.75","9.17","2.02","4.54","8.13","1.44",".238","1.13",".284","77.7 %","1.43","19.7 %","47.2 %","33.1 %","9.9 %","17.7 %","9.0 %","12.5 %","3.42","37.6 %","69.6 %","50.3 %","57.6 %","83.7 %","72.0 %","39.8 %","68.2 %","14.1 %","25.0 %","5.5 %","3.50","5.88","19.5 %","48.4 %","31.1 %","20.5 %","16.8 %","45.9 %","37.3 %","15764"
"James Paxton","Mariners","29","3.76","11.68","2.36","4.95","7.52","1.29",".223","1.10",".299","76.0 %","0.96","19.3 %","39.6 %","41.1 %","9.4 %","14.4 %","4.5 %","60.0 %","3.02","36.0 %","70.0 %","52.4 %","55.9 %","82.1 %","72.8 %","48.3 %","66.2 %","14.3 %","32.3 %","6.5 %","2.96","4.66","25.7 %","36.8 %","34.3 %","28.9 %","16.5 %","49.5 %","34.0 %","11828"
"German Marquez","Rockies","23","3.77","10.56","2.62","4.04","8.22","1.10",".238","1.20",".311","73.2 %","1.59","23.0 %","47.3 %","29.8 %","7.8 %","15.7 %","6.2 %","16.7 %","3.10","30.7 %","65.1 %","46.9 %","49.8 %","85.5 %","73.1 %","47.0 %","64.6 %","12.6 %","28.2 %","7.0 %","3.31","6.34","21.2 %","36.9 %","35.4 %","27.7 %","17.5 %","45.2 %","37.3 %","15038"
"Nathan Eovaldi","- - -","28","3.77","8.13","1.51","5.39","8.55","1.17",".243","1.12",".286","67.7 %","1.33","19.1 %","46.3 %","34.7 %","15.3 %","12.6 %","8.8 %","50.0 %","3.65","34.4 %","74.3 %","53.9 %","66.0 %","86.9 %","80.1 %","48.8 %","64.3 %","10.7 %","22.1 %","4.1 %","3.69","3.52","18.0 %","36.7 %","35.7 %","27.6 %","19.3 %","47.5 %","33.2 %","9132"
"Cole Hamels","- - -","34","3.78","8.87","3.07","2.89","8.31","1.37",".244","1.26",".291","76.1 %","1.42","23.4 %","45.0 %","31.6 %","9.0 %","17.5 %","8.1 %","42.9 %","3.95","32.6 %","68.9 %","47.4 %","59.6 %","84.8 %","74.6 %","40.9 %","60.1 %","12.1 %","23.3 %","8.1 %","3.99","3.02","15.3 %","45.1 %","32.7 %","22.2 %","16.9 %","41.2 %","41.9 %","4972"
