"Name","Team","Age","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","PA","playerid"
"Jesus Aguilar","- - -","29",".276","10.0%","18.6%","0.54",".345",".460",".805",".184",".304","1.04","23.5%","39.0%","37.5%","9.1%","14.1%","5.8%","0.0%",".341","32.9%","64.6%","45.7%","68.4%","88.7%","80.0%","40.3%","58.8%","9.1%","41.7%","31.1%","27.3%","15.5%","41.7%","42.8%","371","11342"
"Luis Robert","White Sox","22",".252","8.0%","31.6%","0.25",".314",".497",".811",".246",".313","0.96","20.0%","39.1%","40.9%","15.6%","24.4%","11.6%","0.0%",".341","46.9%","82.6%","60.0%","46.4%","73.8%","60.3%","36.7%","69.0%","23.8%","38.2%","39.1%","22.7%","25.5%","39.1%","35.5%","187","20043"
"Brett Gardner","Yankees","36",".239","11.0%","23.1%","0.48",".326",".487",".813",".248",".264","1.02","20.1%","40.3%","39.6%","12.5%","20.0%","8.2%","80.0%",".341","23.9%","58.0%","38.6%","63.3%","87.9%","79.3%","43.3%","53.4%","8.0%","46.1%","33.8%","20.1%","20.1%","43.2%","36.7%","472","9927"
"JaCoby Jones","Tigers","28",".255","8.0%","27.4%","0.29",".326",".483",".809",".228",".324","1.21","22.8%","42.2%","35.0%","4.8%","17.5%","7.9%","0.0%",".341","30.9%","65.2%","44.9%","57.7%","87.5%","75.3%","40.7%","64.6%","11.1%","43.9%","33.3%","22.8%","13.9%","45.6%","40.6%","288","14818"
"D.J. Stewart","Orioles","26",".234","11.9%","21.9%","0.55",".337",".468",".805",".234",".248","1.10","12.8%","45.6%","41.6%","19.2%","21.2%","1.8%","20.0%",".341","27.4%","75.5%","47.3%","57.7%","79.5%","72.1%","41.4%","61.2%","13.2%","51.5%","30.0%","18.5%","22.3%","44.6%","33.1%","201","17766"
"Rhys Hoskins","Phillies","27",".212","16.3%","24.1%","0.68",".356",".437",".793",".226",".246","0.57","18.8%","29.4%","51.9%","15.7%","13.6%","6.5%","0.0%",".341","24.6%","61.3%","39.7%","67.1%","84.1%","77.9%","40.9%","54.0%","8.8%","44.6%","33.2%","22.3%","17.7%","40.0%","42.4%","643","16472"
"Matt Chapman","Athletics","27",".234","9.6%","28.0%","0.34",".318",".495",".813",".261",".276","0.75","17.4%","35.4%","47.1%","20.6%","18.8%","10.5%","0.0%",".340","26.4%","67.3%","43.7%","60.4%","79.3%","72.8%","42.3%","57.2%","11.9%","44.6%","32.3%","23.1%","18.3%","36.0%","45.7%","575","16505"
"Kyle Tucker","Astros","23",".256","6.6%","23.4%","0.28",".307",".521",".828",".265",".293","0.84","18.5%","37.1%","44.4%","7.6%","15.2%","3.0%","0.0%",".340","33.3%","78.2%","51.5%","69.3%","83.4%","78.0%","40.5%","57.2%","11.3%","50.3%","29.6%","20.1%","10.6%","45.8%","43.6%","257","18345"
"Luis Arraez","Twins","23",".320","8.7%","8.7%","1.00",".379",".404",".783",".084",".346","1.45","28.2%","42.6%","29.3%","3.7%","2.8%","1.9%","100.0%",".340","27.7%","63.6%","42.7%","89.3%","95.1%","92.9%","41.6%","55.9%","3.0%","27.8%","35.4%","36.8%","12.2%","55.1%","32.7%","449","18568"
"Tommy La Stella","- - -","31",".282","8.9%","6.4%","1.40",".349",".439",".789",".157",".277","1.14","18.3%","43.5%","38.2%","10.0%","9.0%","2.6%","0.0%",".340","25.4%","54.3%","38.1%","81.7%","93.9%","89.3%","44.0%","61.3%","4.1%","44.9%","31.9%","23.2%","13.7%","50.2%","36.1%","315","12371"
