"Name","Team","Age","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","PA","playerid"
"Dansby Swanson","Braves","26",".260","9.7%","25.7%","0.38",".342",".414",".756",".154",".338","1.08","25.6%","38.7%","35.7%","5.0%","11.7%","7.7%","0.0%",".327","28.3%","70.6%","46.1%","56.7%","79.4%","71.4%","42.1%","55.8%","13.2%","42.6%","34.0%","23.4%","13.3%","45.6%","41.1%","534","18314"
"Andres Gimenez","Mets","21",".284","4.5%","19.6%","0.23",".339",".412",".751",".128",".342","1.33","20.3%","45.6%","34.2%","22.2%","7.4%","0.0%","100.0%",".327","34.2%","74.0%","50.4%","67.9%","88.8%","80.4%","40.7%","64.3%","9.9%","51.9%","25.9%","22.2%","17.3%","59.3%","23.5%","112","19950"
"Jake Cave","Twins","27",".249","6.4%","33.9%","0.19",".325",".439",".764",".190",".358","2.11","26.8%","49.7%","23.6%","0.0%","27.0%","2.6%","100.0%",".326","33.1%","70.7%","47.9%","46.5%","81.8%","67.0%","39.4%","54.4%","15.8%","41.1%","31.0%","27.9%","7.0%","44.3%","48.7%","283","14477"
"Dexter Fowler","Cardinals","34",".242","11.6%","25.5%","0.45",".333",".432",".765",".190",".292","1.00","22.8%","38.6%","38.6%","3.6%","17.0%","7.1%","0.0%",".326","27.0%","69.3%","44.2%","61.0%","81.6%","74.2%","40.7%","60.2%","11.4%","36.4%","39.9%","23.7%","19.9%","44.3%","35.7%","467","4062"
"Willi Castro","Tigers","23",".287","4.7%","29.3%","0.16",".329",".436",".765",".149",".392","1.17","23.9%","41.0%","35.1%","8.5%","10.6%","9.1%","0.0%",".326","42.1%","73.5%","54.8%","62.0%","79.5%","71.5%","40.5%","59.9%","15.6%","37.2%","41.6%","21.2%","18.3%","51.8%","29.9%","212","17338"
"Matt Beaty","Dodgers","27",".255","6.7%","14.9%","0.45",".316",".463",".779",".209",".267","1.39","18.4%","47.5%","34.1%","10.8%","14.9%","3.9%","0.0%",".326","31.9%","66.2%","46.0%","66.8%","91.7%","81.6%","41.2%","57.8%","8.5%","41.9%","35.9%","22.1%","16.6%","42.9%","40.6%","282","17710"
"Josh Bell","Pirates","27",".237","12.4%","21.1%","0.59",".335",".448",".783",".211",".254","1.37","17.3%","47.8%","34.9%","8.7%","20.5%","4.6%","0.0%",".326","30.5%","75.1%","47.1%","62.1%","81.9%","73.9%","37.3%","52.8%","12.3%","41.2%","34.1%","24.7%","13.7%","42.9%","43.4%","555","13145"
"Joey Gallo","Rangers","26",".195","14.2%","38.4%","0.37",".318",".447",".765",".252",".269","0.47","15.7%","27.0%","57.4%","9.1%","22.7%","6.5%","66.7%",".326","23.6%","68.0%","42.4%","37.9%","70.6%","60.1%","42.3%","55.2%","16.9%","51.6%","25.8%","22.6%","13.7%","42.7%","43.6%","268","14128"
"Jonathan Villar","- - -","29",".270","8.9%","25.7%","0.35",".337",".425",".762",".154",".345","1.76","19.0%","51.7%","29.3%","7.6%","16.0%","7.1%","27.3%",".326","32.2%","75.4%","49.6%","61.3%","81.1%","73.4%","40.2%","63.5%","13.2%","39.3%","34.8%","25.9%","22.1%","46.8%","31.2%","643","10071"
"Nick Solak","Rangers","25",".272","9.2%","19.2%","0.48",".348",".403",".751",".131",".323","1.66","18.8%","50.7%","30.6%","8.6%","10.0%","9.5%","0.0%",".326","28.1%","64.1%","43.4%","67.3%","89.7%","81.4%","42.6%","65.2%","8.1%","38.3%","37.0%","24.8%","15.2%","49.1%","35.7%","328","19294"
"Jordy Mercer","- - -","33",".283","4.5%","20.2%","0.22",".318",".453",".771",".170",".327","1.35","24.0%","43.7%","32.3%","22.2%","14.8%","8.2%","0.0%",".326","28.8%","59.3%","41.6%","62.7%","88.0%","77.8%","42.1%","59.6%","9.2%","41.3%","40.1%","18.6%","24.0%","42.5%","33.5%","223","6547"
"Dylan Moore","Mariners","27",".228","8.4%","29.8%","0.28",".321",".436",".757",".208",".297","0.74","20.2%","34.0%","45.8%","17.2%","15.1%","4.4%","0.0%",".325","27.5%","64.1%","43.4%","60.3%","81.5%","73.9%","43.4%","60.1%","11.3%","38.2%","35.8%","26.1%","17.4%","44.9%","37.7%","356","18042"
"Curt Casali","Reds","31",".220","13.6%","28.1%","0.48",".335",".419",".754",".199",".261","0.66","23.8%","30.2%","46.0%","5.2%","19.0%","10.5%","0.0%",".325","20.6%","66.3%","40.0%","54.1%","86.7%","77.1%","42.5%","57.0%","9.2%","43.7%","30.2%","26.2%","13.5%","46.8%","39.7%","221","12510"
"Wilson Ramos","Mets","32",".280","7.4%","13.6%","0.55",".339",".417",".756",".138",".301","2.73","19.0%","59.2%","21.7%","8.8%","16.3%","4.1%","0.0%",".325","37.2%","77.2%","54.1%","68.7%","89.5%","81.2%","42.2%","64.0%","10.2%","39.4%","37.8%","22.8%","17.9%","50.3%","31.8%","472","1433"
"Jason Kipnis","- - -","33",".254","9.3%","20.6%","0.45",".323",".451",".774",".197",".282","0.86","20.0%","37.1%","42.9%","9.8%","13.5%","12.2%","40.0%",".324","29.5%","65.2%","44.4%","62.1%","92.6%","80.8%","41.8%","56.0%","8.5%","43.2%","32.4%","24.4%","14.6%","47.3%","38.1%","452","9776"
"Mike Ford","Yankees","27",".222","7.6%","16.2%","0.47",".295",".482",".777",".259",".203","1.08","16.0%","43.6%","40.4%","4.8%","20.6%","1.5%","0.0%",".324","24.6%","63.1%","40.0%","61.1%","88.0%","78.1%","40.1%","58.6%","8.7%","46.8%","36.5%","16.7%","10.3%","48.7%","41.0%","210","15585"
"Pedro Severino","Orioles","26",".262","8.7%","21.4%","0.41",".332",".421",".752",".159",".308","1.15","22.0%","41.7%","36.3%","11.7%","13.8%","10.2%","0.0%",".324","29.5%","70.7%","44.9%","60.8%","87.7%","76.6%","37.5%","55.3%","10.5%","49.0%","33.0%","18.0%","20.3%","46.0%","33.7%","378","14523"
"Ryan McBroom","Royals","28",".273","6.8%","32.7%","0.21",".327",".427",".754",".153",".391","1.11","21.7%","41.2%","37.1%","5.6%","13.9%","5.0%","0.0%",".324","30.4%","62.0%","43.5%","55.8%","80.9%","70.7%","41.4%","64.2%","12.8%","29.9%","34.0%","36.1%","21.7%","44.3%","34.0%","162","16524"
"Austin Romine","- - -","31",".286","4.9%","25.5%","0.19",".318",".448",".767",".163",".356","1.59","22.0%","47.9%","30.1%","14.3%","16.1%","6.7%","0.0%",".324","38.4%","76.4%","54.1%","65.4%","87.5%","78.3%","41.1%","63.7%","11.7%","35.5%","31.7%","32.8%","24.2%","40.3%","35.5%","267","5491"
"Ian Desmond","Rockies","33",".258","5.4%","23.5%","0.23",".300",".484",".784",".226",".296","1.79","24.3%","48.6%","27.1%","10.5%","24.6%","2.0%","0.0%",".324","31.7%","67.8%","46.9%","62.9%","88.3%","78.3%","41.9%","59.7%","10.2%","37.0%","33.7%","29.4%","18.5%","45.0%","36.5%","298","6885"
"Colin Moran","Pirates","27",".272","6.4%","22.8%","0.28",".324",".444",".768",".172",".329","1.48","21.6%","46.8%","31.6%","10.0%","13.6%","3.7%","100.0%",".324","40.4%","76.9%","54.1%","65.3%","87.1%","77.0%","37.6%","62.4%","12.5%","42.4%","32.4%","25.2%","13.8%","50.4%","35.8%","500","16909"
"Billy McKinney","Blue Jays","25",".219","7.9%","31.0%","0.26",".286",".500",".786",".281",".239","0.82","21.1%","35.5%","43.4%","6.1%","27.3%","7.4%","0.0%",".323","28.7%","64.3%","44.3%","56.4%","88.3%","76.7%","43.9%","61.1%","10.3%","52.6%","36.8%","10.5%","17.1%","39.5%","43.4%","126","15654"
"Christian Vazquez","Red Sox","29",".265","7.2%","21.4%","0.34",".318",".447",".764",".181",".305","1.05","21.5%","40.2%","38.3%","9.8%","14.7%","4.7%","20.0%",".323","36.1%","69.3%","50.3%","70.6%","86.6%","80.0%","42.9%","62.0%","10.0%","37.3%","32.5%","30.2%","18.0%","49.7%","32.3%","529","9774"
"Kevin Pillar","- - -","31",".275","3.6%","14.0%","0.26",".309",".465",".774",".190",".292","1.34","19.5%","46.1%","34.4%","14.3%","11.9%","7.6%","0.0%",".323","47.9%","73.3%","57.8%","72.3%","91.4%","81.8%","39.2%","64.5%","10.5%","48.6%","30.3%","21.1%","18.5%","42.7%","38.8%","606","12434"
"Ryan McMahon","Rockies","25",".241","9.6%","33.2%","0.29",".317",".444",".761",".203",".325","1.70","20.1%","50.3%","29.6%","7.8%","27.8%","5.2%","50.0%",".323","29.6%","74.0%","48.6%","51.4%","78.4%","69.0%","42.8%","61.7%","15.1%","35.3%","37.3%","27.5%","15.7%","43.8%","40.5%","540","15112"
"Brian Goodwin","- - -","29",".236","8.7%","31.6%","0.27",".306",".467",".773",".231",".311","0.70","24.2%","31.2%","44.7%","12.8%","15.6%","7.9%","100.0%",".322","27.6%","59.7%","42.1%","55.9%","78.7%","70.5%","45.1%","56.9%","12.4%","45.7%","33.9%","20.4%","15.5%","45.3%","39.2%","415","12858"
"Victor Reyes","Tigers","25",".296","4.5%","22.0%","0.21",".328",".428",".757",".132",".371","1.61","27.9%","44.4%","27.6%","1.1%","7.6%","4.7%","66.7%",".322","41.2%","68.5%","52.6%","70.0%","86.1%","78.7%","41.6%","59.6%","11.2%","32.7%","35.7%","31.6%","9.4%","53.7%","36.9%","463","15487"
"David Peralta","Diamondbacks","32",".267","8.5%","18.2%","0.47",".333",".416",".749",".149",".309","1.71","20.2%","50.3%","29.5%","10.5%","11.6%","6.1%","0.0%",".322","32.7%","69.3%","48.3%","63.7%","89.0%","79.2%","42.5%","64.7%","10.1%","36.3%","38.0%","25.7%","17.5%","42.1%","40.4%","402","2136"
"Nick Markakis","Braves","36",".279","6.9%","14.1%","0.49",".333",".417",".750",".138",".312","1.39","26.1%","43.0%","30.9%","6.0%","7.1%","6.0%","0.0%",".322","28.8%","61.3%","42.7%","82.7%","92.6%","88.8%","42.9%","55.8%","4.8%","32.4%","33.1%","34.6%","16.2%","45.2%","38.6%","348","5930"
"Jonathan Schoop","- - -","28",".262","4.3%","24.7%","0.17",".304",".464",".768",".202",".305","1.34","19.0%","46.4%","34.6%","20.8%","19.8%","7.0%","0.0%",".322","43.5%","80.3%","58.1%","57.1%","83.7%","71.7%","39.6%","58.6%","16.5%","49.0%","30.7%","20.3%","22.9%","45.4%","31.7%","442","11265"
"Austin Hays","Orioles","24",".265","8.0%","18.4%","0.43",".331",".415",".746",".150",".301","1.16","19.8%","43.1%","37.1%","7.0%","11.6%","16.0%","50.0%",".322","35.6%","63.4%","46.4%","65.3%","89.3%","78.0%","38.8%","65.0%","10.2%","39.0%","33.1%","28.0%","11.0%","66.1%","22.9%","163","19363"
"Eddie Rosario","Twins","28",".267","5.2%","14.3%","0.37",".304",".471",".775",".204",".270","0.89","20.5%","37.5%","42.0%","11.3%","14.0%","3.6%","100.0%",".322","46.5%","78.3%","58.0%","74.4%","85.4%","79.8%","36.2%","59.5%","11.7%","48.1%","28.1%","23.8%","18.4%","45.2%","36.4%","553","12155"
"Jose Iglesias","- - -","30",".306","3.0%","13.0%","0.23",".332",".423",".754",".117",".338","2.09","25.7%","50.3%","24.1%","9.7%","8.6%","5.2%","50.0%",".322","46.0%","67.1%","54.7%","78.6%","91.8%","85.3%","41.1%","59.8%","8.1%","36.1%","38.4%","25.5%","21.1%","49.2%","29.6%","468","10231"
"LaMonte Wade Jr.","Twins","26",".218","14.3%","16.2%","0.88",".352",".368",".720",".149",".250","1.07","20.0%","41.4%","38.6%","18.5%","7.4%","3.5%","0.0%",".321","21.7%","60.3%","38.1%","69.8%","92.6%","85.1%","42.3%","53.3%","5.7%","35.7%","37.1%","27.1%","18.6%","44.3%","37.1%","105","18126"
"David Bote","Cubs","27",".227","13.4%","26.8%","0.50",".346",".394",".740",".167",".287","1.77","22.2%","49.7%","28.1%","9.6%","21.2%","8.7%","0.0%",".321","27.4%","64.8%","41.9%","54.9%","81.5%","70.8%","38.8%","55.5%","12.2%","34.6%","36.2%","29.2%","16.8%","50.3%","33.0%","321","14593"
"Hanser Alberto","Orioles","27",".305","2.9%","9.8%","0.30",".329",".424",".754",".119",".324","1.35","22.9%","44.3%","32.8%","10.1%","6.9%","11.6%","52.6%",".321","50.1%","75.0%","60.4%","80.2%","92.9%","86.7%","41.4%","67.9%","8.0%","42.9%","34.5%","22.6%","19.3%","57.5%","23.2%","582","11902"
"Garrett Hampson","Rockies","25",".263","8.1%","28.6%","0.28",".322",".436",".757",".173",".347","1.02","22.4%","39.3%","38.3%","4.9%","14.6%","11.9%","47.6%",".321","23.9%","61.5%","40.5%","57.8%","87.0%","77.4%","44.1%","58.0%","9.2%","37.5%","35.7%","26.8%","17.0%","48.5%","34.5%","371","19262"
"Matt Kemp","Rockies","35",".243","9.3%","29.7%","0.31",".314",".439",".753",".196",".303","1.35","25.0%","43.1%","31.9%","4.4%","26.1%","6.5%","0.0%",".321","33.0%","64.5%","44.1%","54.9%","80.7%","68.3%","35.4%","59.3%","14.0%","45.8%","31.9%","22.2%","13.9%","50.0%","36.1%","118","5631"
"Martin Maldonado","- - -","32",".227","10.8%","28.1%","0.38",".317",".435",".752",".208",".282","1.26","23.7%","42.5%","33.8%","11.4%","21.4%","2.3%","0.0%",".321","31.0%","64.4%","45.2%","54.9%","85.2%","73.2%","42.4%","66.9%","12.1%","50.5%","34.9%","14.6%","15.6%","45.3%","39.2%","353","6887"
"Avisail Garcia","- - -","29",".269","7.2%","23.7%","0.30",".333",".414",".747",".145",".338","1.64","23.1%","47.7%","29.2%","9.4%","12.5%","7.6%","0.0%",".320","38.9%","81.1%","55.5%","56.6%","80.9%","70.6%","39.4%","64.4%","16.3%","41.3%","34.7%","24.0%","19.5%","46.2%","34.4%","489","5760"
"Tommy Pham","- - -","32",".249","10.9%","20.0%","0.54",".337",".406",".742",".157",".291","2.00","19.8%","53.5%","26.7%","7.6%","16.3%","9.2%","0.0%",".320","20.2%","61.8%","37.9%","60.0%","87.4%","79.0%","42.6%","58.6%","7.9%","40.3%","33.6%","26.1%","17.7%","41.2%","41.2%","505","2967"
"Omar Narvaez","- - -","28",".247","10.3%","22.3%","0.46",".333",".410",".743",".163",".287","0.87","26.1%","34.4%","39.5%","4.6%","14.7%","2.1%","0.0%",".320","31.3%","71.5%","48.0%","68.1%","83.2%","77.5%","41.7%","58.6%","10.8%","37.2%","34.3%","28.5%","18.8%","54.2%","27.1%","418","13338"
"Adam Frazier","Pirates","28",".272","6.6%","13.8%","0.48",".332",".416",".747",".144",".301","1.28","24.3%","42.5%","33.2%","5.5%","8.2%","4.8%","33.3%",".319","31.7%","71.6%","48.7%","75.9%","91.2%","85.4%","42.5%","58.4%","7.1%","37.7%","33.2%","29.2%","19.3%","52.0%","28.7%","572","15223"
"Bryan Holaday","- - -","32",".276","7.4%","16.2%","0.46",".333",".418",".751",".142",".308","1.64","21.6%","48.7%","29.7%","18.2%","12.1%","11.1%","0.0%",".319","27.7%","66.8%","44.5%","64.4%","91.4%","81.8%","42.9%","58.8%","8.1%","47.3%","34.8%","17.9%","17.0%","44.6%","38.4%","148","11287"
"Robbie Grossman","Athletics","30",".250","11.9%","17.8%","0.67",".348",".385",".733",".135",".297","1.36","25.2%","43.1%","31.7%","5.8%","7.8%","7.1%","0.0%",".319","21.2%","65.7%","40.1%","70.6%","92.3%","85.7%","42.4%","55.6%","5.7%","34.5%","39.4%","26.2%","16.0%","51.7%","32.3%","471","5254"
"Mike Freeman","Indians","32",".275","7.6%","29.8%","0.25",".340",".398",".738",".123",".384","1.65","26.8%","45.5%","27.7%","6.5%","12.9%","7.8%","12.5%",".318","34.1%","66.2%","49.0%","62.6%","85.0%","76.6%","46.3%","64.7%","11.4%","33.3%","33.3%","33.3%","12.5%","55.0%","32.5%","198","11241"
"Andrew Benintendi","Red Sox","25",".254","9.6%","23.4%","0.41",".332",".407",".739",".153",".326","1.06","21.6%","40.3%","38.1%","12.3%","6.6%","5.4%","50.0%",".318","31.9%","78.0%","50.6%","66.4%","81.4%","75.7%","40.4%","61.8%","12.3%","35.8%","37.9%","26.2%","14.9%","46.1%","39.0%","427","17901"
"Eric Sogard","- - -","33",".272","8.2%","15.0%","0.55",".333",".411",".744",".139",".301","0.90","27.2%","34.5%","38.3%","10.0%","8.3%","5.6%","66.7%",".318","26.5%","56.9%","39.3%","82.6%","94.3%","89.8%","42.1%","61.6%","4.0%","35.4%","37.0%","27.5%","14.2%","54.8%","31.0%","414","7927"
"Randal Grichuk","Blue Jays","28",".244","4.8%","23.7%","0.20",".285",".481",".766",".237",".269","0.98","20.7%","39.3%","40.0%","17.1%","18.9%","8.7%","0.0%",".318","37.0%","70.5%","50.7%","63.9%","87.2%","77.1%","40.9%","61.8%","11.6%","45.9%","29.3%","24.9%","19.5%","42.0%","38.5%","579","10243"
"Miguel Cabrera","Tigers","37",".267","9.1%","20.0%","0.46",".335",".405",".740",".139",".309","1.33","24.9%","42.8%","32.3%","8.4%","13.5%","5.1%","0.0%",".318","34.7%","70.7%","48.7%","58.0%","88.9%","75.5%","39.0%","62.5%","12.0%","33.6%","36.6%","29.8%","12.2%","47.7%","40.1%","525","1744"
"Daniel Murphy","Rockies","35",".280","5.6%","16.2%","0.35",".321",".434",".755",".154",".311","1.15","24.9%","40.2%","34.9%","10.8%","10.0%","4.0%","0.0%",".318","34.8%","70.5%","50.0%","76.9%","94.5%","87.5%","42.7%","60.5%","6.3%","37.8%","35.1%","27.1%","16.9%","54.7%","28.4%","483","4316"
"Joc Pederson","Dodgers","28",".219","8.8%","23.1%","0.38",".305",".445",".750",".226",".231","1.10","17.6%","43.2%","39.2%","14.7%","21.6%","4.7%","50.0%",".317","29.8%","68.0%","45.2%","64.1%","83.0%","75.6%","40.4%","57.7%","11.1%","50.0%","33.2%","16.8%","17.1%","40.6%","42.3%","454","11899"
"David Fletcher","Angels","26",".287","8.9%","11.5%","0.78",".349",".375",".724",".088",".320","1.69","25.4%","46.9%","27.8%","10.9%","3.6%","9.0%","66.7%",".316","25.6%","49.2%","36.6%","81.7%","95.7%","90.5%","46.5%","56.2%","3.5%","42.6%","32.0%","25.4%","17.0%","54.2%","28.8%","628","17992"
"Amed Rosario","Mets","24",".294","3.7%","17.2%","0.21",".322",".424",".746",".131",".337","1.80","21.2%","50.7%","28.1%","7.4%","9.9%","7.3%","0.0%",".316","40.0%","69.8%","52.4%","66.1%","90.7%","79.7%","41.7%","65.3%","10.6%","32.5%","42.2%","25.3%","14.6%","54.1%","31.3%","548","15518"
"Pat Valaika","- - -","27",".254","5.0%","27.4%","0.18",".292",".456",".748",".201",".313","0.89","25.2%","35.3%","39.5%","6.4%","17.0%","9.5%","0.0%",".316","37.5%","75.8%","53.4%","47.7%","85.0%","69.6%","41.5%","58.1%","16.2%","33.9%","39.7%","26.5%","12.4%","56.2%","31.4%","179","14885"
"Francisco Mejia","Padres","24",".256","5.3%","20.6%","0.26",".311",".436",".747",".180",".290","0.76","17.3%","35.8%","46.9%","21.1%","11.8%","8.6%","100.0%",".316","48.7%","73.7%","58.1%","71.3%","83.2%","77.0%","37.6%","65.4%","13.4%","49.4%","31.1%","19.5%","23.2%","40.2%","36.6%","228","16403"
"Jay Bruce","Phillies","33",".222","3.6%","20.9%","0.17",".249",".532",".781",".310",".197","0.69","16.5%","34.1%","49.4%","3.6%","21.4%","5.2%","0.0%",".316","41.3%","82.7%","57.8%","54.7%","85.4%","72.2%","39.9%","59.1%","16.1%","46.5%","26.5%","27.1%","14.7%","38.2%","47.1%","225","9892"
"Jorge Polanco","Twins","26",".272","7.1%","15.9%","0.45",".325",".413",".739",".142",".301","0.83","26.1%","33.5%","40.4%","5.0%","8.5%","7.2%","37.5%",".315","28.5%","67.1%","44.6%","72.1%","90.9%","83.9%","41.7%","58.0%","7.2%","36.8%","36.0%","27.3%","16.0%","49.8%","34.2%","662","13152"
"Ronald Guzman","Rangers","25",".239","10.7%","27.6%","0.39",".330",".403",".732",".164",".313","1.57","31.2%","42.0%","26.8%","14.3%","16.7%","6.1%","0.0%",".315","32.6%","71.1%","47.9%","55.0%","82.8%","71.4%","39.7%","61.3%","13.7%","42.0%","31.9%","26.1%","20.4%","42.7%","36.9%","261","14388"
"Hunter Pence","- - -","37",".241","7.9%","25.6%","0.31",".312",".426",".737",".185",".290","1.40","17.9%","47.9%","34.3%","10.4%","18.8%","6.0%","0.0%",".315","38.9%","74.4%","52.0%","58.6%","76.6%","68.1%","36.9%","61.9%","16.6%","38.6%","30.0%","31.4%","17.1%","50.7%","32.1%","215","8252"
"Manuel Margot","- - -","25",".246","10.1%","17.6%","0.57",".326",".403",".728",".156",".282","1.27","17.9%","45.9%","36.2%","14.4%","9.9%","12.1%","62.5%",".314","26.1%","64.1%","42.2%","66.4%","87.0%","79.6%","42.3%","60.5%","8.6%","49.8%","31.4%","18.7%","20.3%","47.6%","32.1%","438","14712"
"Tucker Barnhart","Reds","29",".240","12.2%","22.1%","0.55",".337",".402",".739",".162",".285","1.23","21.4%","43.3%","35.3%","11.3%","14.1%","0.0%","0.0%",".314","29.0%","68.7%","45.7%","61.3%","89.1%","78.8%","42.0%","59.6%","9.7%","42.4%","32.5%","25.1%","16.8%","51.2%","32.0%","312","10200"
"Jacob Stallings","Pirates","30",".266","9.2%","21.1%","0.44",".339",".395",".734",".129",".322","1.27","17.9%","45.9%","36.2%","4.0%","10.7%","3.2%","0.0%",".314","30.9%","66.7%","45.2%","59.1%","87.7%","76.0%","40.1%","60.2%","10.8%","43.8%","28.1%","28.1%","14.8%","51.0%","34.3%","304","13723"
"Adam Engel","White Sox","28",".267","4.5%","27.1%","0.17",".320",".409",".728",".142",".351","1.37","20.6%","45.9%","33.5%","17.5%","12.3%","15.4%","20.0%",".314","36.1%","68.4%","49.9%","53.8%","84.6%","71.8%","42.7%","65.0%","14.1%","42.9%","29.7%","27.4%","24.0%","48.6%","27.4%","266","15082"
"Didi Gregorius","- - -","30",".252","5.7%","13.8%","0.41",".298",".455",".753",".203",".251","0.85","18.8%","37.3%","43.9%","16.2%","13.0%","7.6%","66.7%",".313","40.1%","76.0%","54.4%","68.7%","90.0%","80.6%","39.9%","65.0%","10.6%","43.2%","34.7%","22.2%","22.2%","44.8%","33.0%","531","6012"
"Yoshitomo Tsutsugo","Rays","28",".190","14.6%","24.3%","0.60",".313",".405",".718",".215",".200","0.83","16.1%","37.9%","46.0%","10.0%","17.5%","0.0%","0.0%",".313","20.5%","66.9%","40.2%","70.5%","83.5%","79.7%","42.5%","59.7%","8.2%","34.5%","37.9%","27.6%","17.2%","47.1%","35.6%","144","27459"
"Maikel Franco","- - -","27",".264","7.1%","16.6%","0.43",".314",".444",".758",".181",".282","1.17","19.6%","43.3%","37.1%","20.2%","13.5%","5.0%","0.0%",".313","36.0%","71.2%","50.0%","65.1%","87.9%","78.1%","39.9%","61.1%","11.0%","49.8%","34.0%","16.2%","24.6%","42.1%","33.3%","421","12179"
"Ender Inciarte","Braves","29",".243","12.1%","15.5%","0.78",".337",".379",".715",".136",".273","1.17","20.4%","42.9%","36.7%","11.1%","7.4%","15.9%","0.0%",".313","29.1%","67.1%","46.4%","72.4%","87.2%","82.1%","45.4%","59.7%","8.3%","42.6%","32.4%","25.0%","23.0%","52.7%","24.3%","206","4922"
"Adam Haseley","Phillies","24",".272","6.5%","23.2%","0.28",".333",".394",".728",".122",".350","2.85","24.0%","56.3%","19.7%","9.8%","12.2%","7.7%","0.0%",".313","33.2%","70.5%","48.3%","57.8%","87.5%","75.3%","40.4%","63.9%","11.9%","35.4%","38.2%","26.4%","17.5%","50.5%","32.1%","310","19878"
"Jedd Gyorko","- - -","30",".226","10.0%","26.4%","0.38",".300",".444",".744",".218",".247","1.03","20.2%","40.5%","39.3%","17.1%","22.9%","5.6%","0.0%",".313","30.6%","62.6%","43.8%","55.9%","83.0%","71.9%","41.4%","60.7%","12.3%","46.1%","36.0%","18.0%","19.1%","44.9%","36.0%","140","10816"
"David Dahl","Rockies","26",".256","5.7%","25.1%","0.23",".303",".443",".745",".187",".314","1.17","21.0%","42.5%","36.5%","3.9%","12.8%","3.3%","0.0%",".312","37.1%","74.3%","53.1%","62.8%","80.7%","73.6%","43.0%","63.8%","14.0%","37.7%","35.4%","27.0%","14.9%","47.9%","37.2%","315","13744"
"Carson Kelly","Diamondbacks","25",".223","12.1%","23.9%","0.51",".318",".436",".754",".213",".249","0.91","19.9%","38.1%","42.0%","8.4%","17.9%","5.8%","0.0%",".312","24.9%","62.6%","41.3%","65.2%","84.9%","78.2%","43.6%","54.1%","9.0%","44.3%","36.3%","19.5%","15.9%","39.8%","44.3%","355","13620"
"Yan Gomes","Nationals","32",".230","9.9%","20.8%","0.48",".314",".434",".748",".204",".251","0.78","18.4%","35.9%","45.8%","8.3%","13.4%","5.3%","0.0%",".312","36.2%","69.3%","49.6%","68.5%","84.9%","77.8%","40.5%","64.1%","11.0%","37.3%","36.3%","26.4%","13.7%","46.2%","40.1%","312","9627"
"Dustin Garneau","- - -","31",".223","10.1%","24.4%","0.41",".316",".408",".724",".185",".271","0.73","13.5%","36.5%","50.0%","21.6%","10.8%","11.1%","0.0%",".312","20.9%","70.4%","45.4%","56.3%","86.8%","79.7%","49.6%","63.0%","9.2%","57.3%","26.7%","16.0%","18.7%","50.7%","30.7%","119","9433"
"Kevin Plawecki","- - -","29",".281","4.2%","16.4%","0.26",".327",".392",".720",".111",".323","1.27","19.7%","44.9%","35.4%","17.8%","6.7%","10.5%","0.0%",".312","28.7%","69.0%","46.1%","72.5%","90.0%","83.8%","43.3%","55.2%","7.5%","40.9%","37.0%","22.1%","20.5%","45.7%","33.9%","165","13807"
"Mauricio Dubon","- - -","24",".278","5.8%","20.3%","0.29",".321",".404",".724",".126",".329","1.31","27.8%","40.9%","31.3%","5.5%","10.9%","8.3%","0.0%",".311","41.7%","75.6%","55.5%","70.7%","85.5%","78.9%","40.9%","66.1%","11.7%","41.8%","32.2%","26.0%","14.7%","52.5%","32.8%","242","16530"
"C.J. Cron","- - -","30",".235","6.5%","22.4%","0.29",".300",".444",".744",".209",".260","1.19","17.9%","44.7%","37.5%","9.1%","18.2%","8.6%","0.0%",".311","36.7%","69.7%","50.6%","67.2%","83.4%","76.6%","42.0%","59.7%","11.9%","42.6%","36.2%","21.3%","17.0%","40.0%","43.0%","340","12546"
"Eric Hosmer","Padres","30",".257","5.9%","24.7%","0.24",".304",".436",".740",".179",".310","2.08","19.4%","54.4%","26.2%","5.9%","20.8%","3.3%","0.0%",".311","36.5%","71.6%","49.9%","60.6%","86.0%","74.6%","38.3%","56.8%","12.7%","35.8%","40.7%","23.6%","16.1%","44.0%","39.9%","562","3516"
"Phillip Ervin","- - -","27",".246","8.3%","22.0%","0.38",".319",".409",".728",".164",".300","0.98","21.5%","38.8%","39.7%","9.4%","8.2%","8.4%","0.0%",".311","29.5%","71.2%","46.8%","58.8%","83.9%","74.6%","41.5%","59.9%","11.9%","41.1%","33.2%","25.7%","17.8%","48.1%","34.1%","314","14738"
"Kevin Newman","Pirates","26",".282","5.2%","11.3%","0.46",".326",".400",".726",".118",".303","1.70","22.9%","48.6%","28.5%","8.7%","8.7%","9.4%","28.6%",".311","35.6%","68.5%","49.5%","76.3%","94.3%","86.8%","42.4%","64.0%","6.5%","37.3%","34.4%","28.3%","18.7%","53.8%","27.5%","595","17696"
