last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Stanton, Giancarlo,519317,437,11.1,31.6,122.2,91.9,99.8,86.8,477,182,418,198,45.4,76,17.4,11.0
Judge, Aaron,592450,338,15.8,38.2,121.1,94.9,100.2,88.6,495,215,413,185,54.7,87,25.7,12.8
Trumbo, Mark,444432,411,12.6,26.8,118.5,89.6,94.0,88.2,461,169,400,154,37.5,29,7.1,4.8
Lind, Adam,452252,226,10.6,33.2,118.3,90.6,95.3,86.7,426,179,398,100,45.0,19,8.4,6.3
Hosmer, Eric,543333,501,3.8,30.7,118.0,89.7,94.1,87.8,458,150,403,194,39.0,35,7.0,5.2
Cruz, Nelson,443558,423,12.4,34.5,117.7,93.2,98.5,88.4,482,198,412,204,48.3,60,14.2,9.3
Gallo, Joey,608336,253,22.7,36.0,117.3,93.1,99.1,85.4,490,227,421,132,52.2,56,22.1,10.5
Gonzalez, Carlos,471865,357,6.1,28.9,117.1,87.4,93.0,84.4,478,159,415,131,36.7,21,5.9,3.9
Harper, Bryce,547180,324,13.6,35.8,116.3,90.6,95.3,87.5,451,185,407,137,42.8,38,11.7,7.7
Machado, Manny,592518,524,13.4,30.3,116.3,90.9,96.5,88.2,470,178,406,248,47.3,55,10.5,8.0
Vargas, Kennys,573627,165,11.3,30.9,116.2,86.3,92.9,83.1,483,163,422,50,30.3,15,9.1,5.7
Rua, Ryan,607387,78,11.1,32.1,116.2,84.4,90.9,79.0,411,166,388,25,32.1,7,9.0,4.9
Souza Jr., Steven,519306,347,10.9,33.7,116.2,88.0,94.8,81.8,455,181,408,131,37.9,40,11.5,6.5
Schwarber, Kyle,656941,272,17.8,29.8,116.1,88.9,95.5,82.5,470,196,409,113,41.5,41,15.1,8.4
Schoop, Jonathan,570731,487,12.9,35.5,116.0,87.7,92.6,85.1,462,169,402,176,36.1,33,6.8,4.9
Holliday, Matt,407812,264,11.8,31.4,116.0,89.8,95.4,86.5,459,168,413,115,43.6,27,10.2,6.3
Puig, Yasiel,624577,404,10.6,27.5,116.0,88.4,94.1,85.7,449,162,408,148,36.8,38,9.4,6.7
Sanchez, Gary,596142,355,13.2,33.5,115.7,90.8,96.0,87.6,493,175,416,152,42.9,42,11.8,8.0
Mancini, Trey,641820,408,7.2,31.6,115.5,88.6,94.8,85.0,459,157,399,163,40.1,40,9.8,6.8
Garcia, Avisail,541645,408,7.5,31.6,115.5,90.3,95.4,86.6,451,159,407,166,40.8,36,8.8,6.4
Cespedes, Yoenis,493316,232,18.8,29.7,115.2,89.9,94.7,88.2,440,201,406,101,43.7,26,11.2,8.1
Contreras, Willson,575929,282,5.9,29.8,115.1,87.1,95.7,81.9,442,157,409,100,35.5,29,10.3,6.8
Cron, C.J.,543068,246,18.0,37.4,114.9,89.2,93.6,85.9,461,199,415,95,38.6,25,10.2,6.7
Abreu, Jose,547989,506,11.3,34.6,114.9,90.5,95.4,87.0,464,180,408,227,45.0,48,9.5,7.1
Bour, Justin,571506,286,9.8,37.1,114.8,89.2,95.3,85.6,446,178,399,113,39.5,31,10.8,7.2
Martinez, J.D.,502110,308,15.2,37.7,114.8,91.0,97.1,84.5,466,210,413,150,48.9,60,19.5,12.3
Braun, Ryan,460075,308,7.5,30.8,114.7,89.7,96.0,85.5,429,162,401,134,43.6,26,8.4,6.1
Villar, Jonathan,542340,274,1.5,27.0,114.7,86.7,93.5,83.3,450,140,395,93,33.9,15,5.5,3.4
Trout, Mike,545361,316,18.0,36.4,114.7,88.8,94.2,84.1,448,199,411,124,39.2,42,13.3,8.3
Herrera, Odubel,546318,402,8.9,35.1,114.6,86.5,91.1,83.8,434,172,396,129,32.1,25,6.2,4.4
Sano, Miguel,593934,252,13.2,37.7,114.6,92.3,98.3,85.3,469,200,413,117,46.6,41,16.3,8.5
Zimmer, Bradley,605548,203,6.1,26.6,114.6,86.5,93.8,81.7,435,147,412,81,39.9,18,8.9,5.4
Springer, George,543807,441,9.4,31.5,114.6,89.3,96.0,84.5,473,170,402,186,42.6,41,9.3,6.5
Alfaro, Jorge,595751,74,8.2,37.8,114.5,88.1,94.9,82.5,459,161,423,27,36.5,7,9.5,6.1
Ozuna, Marcell,542303,471,10.1,31.2,114.5,90.7,96.4,86.7,468,167,413,212,45.2,44,9.3,6.5
Duda, Lucas,446263,290,19.2,40.3,114.5,90.3,95.2,85.1,451,208,404,127,43.8,35,12.1,7.1
Soler, Jorge,624585,61,19.6,26.2,114.4,89.0,94.4,86.5,464,183,441,21,34.4,4,6.6,3.6
Morrison, Logan,489149,366,17.6,39.6,114.4,88.6,94.2,82.0,444,206,405,155,42.5,47,12.8,7.8
