"Name","Team","Age","ERA","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","xFIP","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","SIERA","RS/9","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","Start-IP","GS","IP","playerid"
"Justin Wilson","Mets","32","3.33","10.17","4.25","2.39","8.32","0.92",".242","1.40",".317","81.0%","1.68","22.0%","48.8%","29.1%","0.0%","13.5%","9.7%","50.0%","3.98","30.0%","73.0%","49.9%","67.1%","80.5%","76.2%","46.2%","55.9%","11.9%","26.1%","10.9%","4.04","7.40","15.2%","34.4%","33.6%","32.1%","26.0%","43.5%","30.5%","","0","48.2","4301"
"Oliver Perez","Indians","38","3.33","9.67","2.33","4.14","7.67","0.83",".229","1.11",".297","73.7%","1.22","19.9%","44.0%","36.2%","5.9%","9.8%","6.5%","0.0%","3.92","33.2%","65.2%","48.4%","60.7%","83.7%","75.4%","47.5%","62.6%","11.9%","26.5%","6.4%","3.53","3.17","20.1%","39.9%","33.6%","26.6%","17.5%","50.4%","32.2%","","0","54.0","1514"
"Dylan Floro","Dodgers","29","3.38","7.78","2.35","3.31","8.51","0.59",".243","1.21",".297","71.0%","2.04","20.6%","53.3%","26.1%","12.8%","8.5%","1.0%","50.0%","3.87","33.8%","71.6%","50.5%","61.7%","85.0%","76.3%","44.1%","60.7%","12.0%","20.6%","6.2%","3.87","6.46","14.4%","28.0%","36.6%","35.5%","18.8%","50.0%","31.2%","","0","61.1","13394"
"Jalen Beeks","Rays","26","3.40","8.33","3.07","2.71","9.30","0.73",".264","1.37",".328","75.0%","1.46","24.7%","44.8%","30.6%","11.1%","9.1%","6.2%","57.1%","4.38","33.3%","66.8%","47.3%","66.0%","84.9%","77.2%","41.9%","61.4%","10.8%","21.4%","7.9%","4.21","4.45","13.5%","42.6%","32.3%","25.1%","15.4%","44.1%","40.5%","","0","111.1","17192"
"Jose Cisnero","Tigers","31","3.40","9.85","4.08","2.42","7.64","0.85",".223","1.30",".288","74.2%","1.00","21.7%","39.2%","39.2%","17.9%","8.9%","7.1%","0.0%","4.68","32.8%","72.4%","50.2%","57.9%","83.1%","73.9%","43.9%","60.4%","13.1%","25.2%","10.4%","4.18","2.89","14.8%","29.2%","38.2%","32.6%","15.3%","48.6%","36.1%","","0","53.0","6399"
"John Gant","Cardinals","27","3.40","8.45","4.58","1.85","6.57","0.47",".207","1.24",".267","69.4%","1.83","25.8%","48.0%","26.3%","19.2%","7.7%","3.2%","0.0%","4.20","29.2%","67.9%","46.6%","60.4%","80.5%","73.6%","45.0%","59.0%","12.3%","23.2%","12.6%","4.56","7.04","10.7%","39.2%","36.7%","24.1%","18.6%","45.2%","36.2%","","0","76.2","13684"
"Cory Gearrin","- - -","33","3.42","7.48","4.07","1.84","8.62","0.65",".254","1.41",".308","79.8%","1.36","23.3%","44.2%","32.5%","1.9%","7.5%","8.3%","0.0%","5.02","28.1%","64.9%","43.6%","71.6%","87.5%","81.6%","42.0%","66.4%","8.0%","19.3%","10.5%","4.83","5.04","8.8%","42.3%","33.1%","24.5%","17.8%","48.5%","33.7%","","0","55.1","7947"
"Hector Neris","Phillies","31","3.43","11.61","3.43","3.38","6.75","1.18",".201","1.13",".267","74.4%","1.29","19.0%","45.7%","35.3%","10.8%","15.4%","7.1%","50.0%","3.70","36.3%","68.6%","48.4%","50.2%","76.4%","64.0%","37.3%","59.3%","17.4%","30.7%","9.1%","3.41","2.96","21.6%","46.8%","32.8%","20.4%","21.0%","38.7%","40.3%","","0","76.0","11804"
"Michael Lorenzen","Reds","28","3.44","9.03","3.35","2.69","7.63","1.12",".223","1.22",".271","77.5%","1.30","23.5%","43.2%","33.3%","6.8%","13.6%","4.4%","16.7%","4.18","33.1%","71.2%","47.9%","60.4%","79.3%","71.3%","38.7%","61.7%","13.7%","24.0%","8.9%","4.09","4.75","15.1%","35.6%","33.3%","31.1%","17.4%","49.3%","33.3%","","0","96.2","14843"
"Steve Cishek","- - -","34","3.45","7.97","3.93","2.03","7.26","1.07",".219","1.24",".257","81.0%","1.38","16.7%","48.3%","34.9%","9.6%","12.3%","6.9%","0.0%","5.05","30.0%","63.4%","43.3%","68.9%","84.0%","77.7%","39.7%","60.8%","9.7%","20.9%","10.3%","4.59","4.64","10.6%","38.9%","38.4%","22.8%","23.7%","46.0%","30.3%","","0","75.2","6483"
"Yimi Garcia","- - -","29","3.46","9.42","2.35","4.00","5.82","2.08",".177","0.91",".175","84.1%","0.55","14.4%","30.5%","55.1%","12.0%","16.3%","3.9%","50.0%","4.99","30.5%","69.2%","47.1%","66.9%","81.9%","76.3%","43.0%","62.3%","11.2%","26.2%","6.5%","3.87","3.74","19.6%","38.5%","29.6%","32.0%","19.5%","43.8%","36.7%","","0","65.0","12095"
"Francisco Liriano","Pirates","35","3.47","8.10","4.50","1.80","7.71","1.03",".228","1.36",".271","76.0%","1.48","15.9%","50.3%","33.8%","15.2%","12.1%","6.1%","40.0%","4.92","31.8%","69.3%","47.1%","55.4%","81.6%","71.2%","40.9%","60.5%","13.6%","20.9%","11.6%","4.76","4.76","9.3%","42.5%","35.0%","22.5%","24.5%","45.0%","30.5%","","0","70.0","3201"
"Josh Tomlin","Braves","35","3.49","6.57","1.03","6.40","8.62","1.44",".248","1.07",".268","78.0%","0.82","23.3%","34.4%","42.2%","8.8%","12.3%","6.5%","0.0%","4.67","34.3%","73.8%","50.6%","67.3%","88.5%","80.1%","41.4%","66.8%","10.1%","18.3%","2.9%","4.27","5.03","15.5%","43.3%","33.8%","22.9%","16.7%","48.7%","34.6%","","0","87.2","9388"
"Thomas Pannone","Blue Jays","25","3.54","8.38","4.10","2.05","7.45","1.30",".222","1.28",".258","83.6%","0.81","19.5%","36.1%","44.4%","8.5%","11.9%","2.1%","0.0%","5.39","32.5%","70.9%","47.4%","76.1%","77.0%","76.6%","38.9%","53.9%","11.1%","21.8%","10.7%","4.70","4.10","11.2%","36.3%","35.6%","28.2%","14.1%","50.4%","35.6%","","0","48.1","17281"
"Junior Guerra","- - -","35","3.54","8.19","4.19","1.96","6.14","1.12",".188","1.15",".215","76.6%","1.26","18.8%","45.3%","35.9%","14.1%","13.0%","4.3%","14.3%","4.83","28.2%","72.8%","46.6%","62.9%","83.5%","76.2%","41.3%","58.9%","11.1%","22.0%","11.2%","4.63","3.72","10.7%","40.7%","35.7%","23.6%","19.0%","43.4%","37.6%","","0","96.2","5702"
"Nick Goody","- - -","28","3.55","10.84","4.93","2.20","6.70","1.58",".200","1.29",".243","79.5%","0.54","20.9%","27.8%","51.3%","18.6%","13.6%","9.4%","0.0%","5.01","34.3%","72.7%","50.3%","51.3%","82.2%","69.9%","41.7%","53.3%","15.1%","28.2%","12.8%","4.33","3.94","15.4%","38.3%","24.4%","37.4%","23.5%","39.1%","37.4%","","0","45.2","13685"
"Sergio Romo","- - -","36","3.55","9.38","2.66","3.52","7.23","1.01",".212","1.10",".262","70.6%","0.78","19.1%","35.6%","45.4%","12.5%","9.1%","13.0%","100.0%","4.63","39.4%","62.7%","47.8%","60.6%","82.0%","70.7%","36.0%","65.7%","14.0%","25.2%","7.1%","3.87","2.79","18.0%","47.7%","31.8%","20.5%","19.5%","47.2%","33.3%","","0","71.0","9817"
"Noe Ramirez","Angels","30","3.58","9.99","3.21","3.12","7.52","1.11",".226","1.19",".289","79.6%","0.96","20.7%","38.8%","40.4%","15.8%","11.8%","12.3%","0.0%","4.36","31.8%","61.5%","44.6%","57.1%","80.8%","71.2%","43.2%","63.6%","12.9%","26.8%","8.6%","3.80","5.55","18.2%","44.4%","33.3%","22.2%","20.1%","43.9%","36.0%","","0","73.0","12800"
"Mark Melancon","- - -","34","3.58","8.54","2.54","3.36","9.35","0.58",".266","1.32",".336","73.7%","3.39","21.1%","61.0%","18.0%","12.2%","12.2%","5.0%","33.3%","3.31","31.7%","64.8%","45.1%","63.6%","88.4%","78.0%","40.3%","59.4%","9.9%","22.4%","6.7%","3.39","3.35","15.8%","39.4%","37.2%","23.4%","15.2%","46.8%","38.1%","","0","78.0","4264"
"John Brebbia","Cardinals","29","3.59","10.78","3.34","3.22","7.31","0.74",".215","1.18",".293","72.0%","0.53","22.6%","26.9%","50.5%","12.8%","6.4%","10.0%","0.0%","4.63","33.0%","71.9%","50.6%","65.0%","78.5%","73.7%","45.3%","66.1%","13.3%","28.6%","8.9%","3.82","5.20","19.7%","34.8%","31.6%","33.7%","20.9%","40.6%","38.5%","","0","72.2","12777"
"Hansel Robles","Angels","29","3.59","9.58","2.29","4.19","8.06","0.98",".236","1.15",".301","74.3%","0.89","20.9%","37.3%","41.8%","7.6%","9.8%","8.5%","20.0%","4.08","29.1%","74.4%","49.9%","63.6%","80.5%","75.2%","46.0%","60.9%","12.4%","26.3%","6.3%","3.61","1.85","20.0%","33.8%","42.7%","23.6%","13.3%","45.3%","41.3%","","0","82.2","11801"
"Tommy Kahnle","Yankees","30","3.61","13.14","3.03","4.33","6.64","1.30",".199","1.07",".282","74.5%","1.82","20.9%","51.1%","28.1%","10.3%","23.1%","7.0%","100.0%","2.64","34.9%","72.7%","51.2%","50.5%","73.4%","64.5%","43.0%","61.8%","18.2%","35.8%","8.3%","2.78","5.20","27.6%","42.9%","32.1%","25.0%","18.6%","47.9%","33.6%","","0","62.1","11384"
"Tony Watson","Giants","35","3.62","6.96","1.95","3.57","8.63","1.39",".245","1.18",".269","77.9%","1.30","19.9%","45.3%","34.8%","12.9%","14.3%","6.6%","0.0%","4.73","39.7%","69.1%","51.5%","67.7%","82.5%","75.7%","40.2%","67.8%","12.5%","18.3%","5.1%","4.28","3.20","13.2%","34.0%","41.4%","24.6%","23.2%","41.4%","35.5%","","0","64.2","3132"
"Scott Barlow","Royals","27","3.64","11.63","4.45","2.61","7.69","0.71",".227","1.35",".324","77.1%","1.13","23.1%","40.7%","36.1%","3.8%","9.0%","3.4%","50.0%","3.97","34.3%","64.2%","46.0%","51.5%","81.6%","67.9%","39.1%","57.7%","14.8%","30.0%","11.5%","3.80","2.83","18.5%","42.7%","33.2%","24.1%","14.1%","47.7%","38.2%","","0","89.0","14993"
"Freddy Peralta","Brewers","24","3.66","13.64","4.22","3.23","7.03","0.98",".208","1.25",".316","71.6%","0.77","21.2%","34.3%","44.5%","11.5%","11.5%","6.4%","50.0%","3.51","33.7%","71.1%","48.9%","57.7%","75.7%","68.3%","40.6%","60.2%","15.5%","35.8%","11.1%","3.19","5.20","24.7%","41.3%","28.7%","30.1%","18.2%","47.6%","34.3%","","0","64.0","18679"
"Yoan Lopez","Diamondbacks","27","3.66","6.69","2.90","2.30","7.82","1.64",".231","1.19",".243","77.8%","1.56","24.4%","46.0%","29.6%","9.5%","20.6%","5.1%","0.0%","4.44","31.0%","69.8%","47.7%","64.3%","86.8%","78.5%","43.1%","58.4%","10.3%","18.2%","7.9%","4.53","4.16","10.3%","40.0%","39.5%","20.5%","9.8%","40.9%","49.3%","","0","71.1","17181"
"Tyler Chatwood","Cubs","29","3.67","8.83","4.17","2.12","7.33","1.00",".221","1.28",".271","78.3%","3.12","28.5%","54.2%","17.4%","12.0%","24.0%","3.8%","0.0%","3.67","26.3%","63.0%","41.0%","61.5%","88.2%","77.9%","40.0%","52.7%","9.1%","23.5%","11.1%","4.10","5.33","12.4%","35.6%","34.9%","29.5%","19.9%","46.6%","33.6%","","0","54.0","4338"
"Gregory Soto","Tigers","25","3.73","8.88","4.62","1.92","9.24","0.89",".263","1.54",".329","78.1%","1.95","20.3%","52.7%","27.0%","2.5%","12.5%","11.5%","0.0%","4.44","25.1%","66.0%","43.6%","60.2%","86.6%","78.3%","45.3%","54.4%","9.5%","22.1%","11.5%","4.44","1.78","10.6%","31.8%","37.2%","31.1%","15.5%","42.6%","41.9%","","0","50.2","19677"
"Ryan Weber","Red Sox","29","3.74","6.23","1.66","3.75","8.93","0.83",".251","1.18",".285","69.0%","2.24","21.4%","54.3%","24.3%","11.8%","11.8%","7.9%","0.0%","3.98","27.4%","65.0%","43.6%","79.2%","92.3%","87.6%","43.1%","66.1%","5.4%","16.7%","4.4%","3.96","2.70","12.2%","47.5%","31.2%","21.3%","14.9%","52.5%","32.6%","","0","43.1","10160"
"Zack Littell","Twins","24","3.74","7.27","2.49","2.92","9.55","1.87",".280","1.34",".308","86.2%","1.02","27.3%","36.7%","35.9%","19.6%","19.6%","2.1%","0.0%","4.59","32.3%","75.0%","52.3%","60.0%","87.2%","78.2%","46.7%","60.5%","11.4%","19.8%","6.8%","4.39","5.61","13.0%","41.9%","27.9%","30.2%","17.1%","34.9%","48.1%","","0","43.1","15823"
"Tim Hill","- - -","30","3.75","9.48","2.68","3.53","7.15","1.07",".215","1.09",".268","74.1%","2.06","16.0%","56.5%","27.5%","11.1%","16.7%","8.1%","50.0%","3.76","29.8%","66.7%","46.8%","72.4%","85.6%","81.0%","46.0%","60.9%","8.9%","25.6%","7.3%","3.48","5.90","18.4%","37.6%","38.4%","24.1%","27.1%","39.9%","33.1%","","0","50.1","16814"
"Carlos Estevez","Rockies","27","3.76","9.74","2.84","3.43","8.93","1.32",".251","1.31",".310","77.4%","0.90","22.0%","37.0%","40.9%","3.8%","12.5%","7.4%","0.0%","4.41","28.9%","72.0%","49.9%","59.6%","79.0%","73.3%","48.8%","64.4%","13.4%","25.1%","7.3%","3.85","5.58","17.8%","34.1%","36.1%","29.8%","13.3%","43.9%","42.8%","","0","88.2","14542"
"Joakim Soria","Athletics","36","3.76","10.11","2.80","3.62","6.56","0.86",".197","1.04",".255","68.5%","0.91","22.8%","36.7%","40.5%","10.3%","9.2%","3.8%","0.0%","4.05","30.2%","69.1%","48.2%","67.1%","76.7%","73.5%","46.3%","62.8%","12.8%","27.7%","7.7%","3.60","3.76","20.1%","34.3%","36.6%","29.2%","19.0%","40.3%","40.7%","","0","83.2","6941"
"Luke Jackson","Braves","28","3.78","12.08","3.36","3.59","9.77","1.05",".272","1.46",".382","75.2%","2.79","18.4%","60.1%","21.5%","8.3%","20.8%","8.2%","50.0%","2.82","35.9%","69.4%","48.6%","51.5%","82.8%","68.4%","37.8%","63.0%","15.3%","30.6%","8.5%","3.05","5.99","22.1%","39.7%","36.1%","24.2%","15.9%","47.6%","36.6%","","0","85.2","11752"
"Tyler Webb","Cardinals","29","3.80","7.45","3.80","1.96","5.77","1.27",".177","1.06",".189","74.9%","1.07","19.4%","41.7%","38.9%","11.8%","13.2%","2.7%","0.0%","5.01","31.0%","69.0%","47.2%","73.8%","84.6%","80.5%","42.8%","58.1%","9.2%","20.4%","10.4%","4.75","4.36","10.0%","38.2%","36.0%","25.8%","18.0%","44.4%","37.6%","","0","64.0","14974"
"Josh Taylor","Red Sox","27","3.81","11.42","2.90","3.94","7.79","1.09",".231","1.19",".316","74.6%","1.18","19.7%","43.4%","36.9%","8.9%","13.3%","7.5%","100.0%","3.62","34.6%","73.3%","49.3%","55.3%","80.6%","69.5%","37.8%","65.4%","15.0%","30.7%","7.8%","3.28","3.62","22.9%","45.5%","38.2%","16.3%","17.9%","49.6%","32.5%","","0","49.2","17359"
"Blake Parker","- - -","34","3.84","9.59","3.43","2.80","7.54","1.51",".224","1.22",".268","78.4%","1.15","25.0%","40.1%","34.9%","11.7%","18.3%","4.3%","0.0%","4.17","28.6%","66.3%","43.9%","61.7%","81.8%","74.0%","40.5%","59.3%","11.4%","25.6%","9.2%","3.98","5.21","16.5%","39.4%","37.1%","23.4%","15.4%","39.4%","45.1%","","0","65.2","5224"
"Ryan Yarbrough","Rays","27","3.86","7.39","1.45","5.11","7.71","0.96",".225","1.02",".261","64.5%","1.21","22.0%","42.7%","35.4%","8.6%","10.3%","4.3%","66.7%","4.17","33.7%","68.8%","48.5%","76.9%","86.6%","82.7%","42.1%","65.9%","8.4%","20.6%","4.0%","3.96","5.30","16.6%","34.1%","41.3%","24.6%","18.0%","53.9%","28.1%","","0","56.0","16502"
"Caleb Ferguson","Dodgers","23","3.86","11.91","4.19","2.84","7.04","1.17",".209","1.25",".285","74.4%","1.28","22.2%","43.7%","34.1%","9.3%","16.3%","10.9%","0.0%","3.87","29.8%","74.3%","50.5%","64.2%","83.6%","77.5%","46.7%","58.2%","11.4%","30.6%","10.8%","3.63","4.19","19.8%","27.7%","41.5%","30.8%","20.0%","40.0%","40.0%","","0","53.2","19349"
"Jared Hughes","- - -","33","3.86","6.96","3.64","1.91","6.86","1.50",".211","1.17",".222","72.5%","2.80","17.1%","61.1%","21.8%","11.8%","27.5%","7.0%","20.0%","4.18","36.5%","65.4%","46.5%","70.0%","88.5%","78.9%","34.4%","59.5%","9.8%","19.1%","10.0%","4.28","4.71","9.1%","56.5%","32.2%","11.3%","17.6%","43.9%","38.5%","","0","84.0","9325"
"Ty Buttrey","Angels","27","3.87","9.17","2.95","3.10","8.46","0.92",".245","1.27",".308","73.1%","1.41","20.5%","46.6%","32.9%","11.0%","11.0%","7.8%","0.0%","4.19","29.6%","66.5%","46.3%","57.0%","85.3%","75.4%","45.3%","58.3%","11.4%","24.1%","7.8%","3.90","5.91","16.3%","37.0%","28.5%","34.5%","12.9%","39.0%","48.2%","","0","88.1","14719"
"Chaz Roe","Rays","33","3.88","11.04","5.07","2.18","8.80","0.45",".254","1.54",".361","70.5%","1.12","22.4%","41.0%","36.5%","10.5%","5.3%","4.7%","100.0%","4.41","27.6%","52.9%","38.4%","59.9%","85.7%","75.0%","42.5%","54.5%","9.6%","27.6%","12.7%","4.23","5.37","14.9%","32.5%","40.8%","26.8%","19.8%","45.2%","35.0%","","0","60.1","9866"
"Felix Pena","Angels","30","3.89","10.26","2.92","3.52","7.24","1.30",".213","1.13",".264","72.0%","1.41","21.9%","45.7%","32.4%","5.6%","16.9%","5.0%","100.0%","3.65","32.0%","64.1%","45.5%","49.6%","84.4%","70.2%","42.0%","57.0%","13.5%","27.6%","7.9%","3.54","4.86","19.8%","44.6%","34.6%","20.9%","14.1%","46.8%","39.1%","","0","83.1","13403"
"Jake Diekman","- - -","32","3.89","12.41","5.84","2.13","6.57","0.36",".198","1.38",".304","72.6%","1.87","23.2%","50.0%","26.8%","15.6%","6.7%","8.3%","33.3%","4.04","32.0%","62.2%","44.8%","46.8%","77.8%","64.9%","42.2%","62.1%","16.1%","30.7%","14.5%","4.08","3.04","16.3%","47.4%","30.4%","22.2%","18.7%","50.3%","31.0%","","0","74.0","5003"
"Buck Farmer","Tigers","29","3.91","8.76","3.08","2.85","8.41","1.07",".241","1.28",".294","72.7%","1.55","18.5%","49.5%","31.9%","8.7%","13.0%","6.5%","25.0%","4.28","31.4%","68.3%","46.3%","59.9%","83.1%","73.7%","40.2%","58.2%","12.2%","22.8%","8.0%","4.03","4.26","14.8%","41.8%","37.7%","20.5%","15.0%","43.2%","41.8%","","0","76.0","14814"
"Framber Valdez","Astros","26","3.92","8.06","4.79","1.68","8.93","0.44",".252","1.52",".315","65.4%","2.72","25.6%","54.4%","20.0%","4.0%","8.0%","4.4%","100.0%","4.28","26.5%","68.6%","45.4%","56.8%","85.1%","76.0%","44.9%","61.3%","10.9%","19.9%","11.8%","4.59","4.79","8.1%","38.1%","39.7%","22.2%","17.5%","48.4%","34.1%","","0","41.1","17295"
"Richard Rodriguez","Pirates","30","3.92","9.35","2.88","3.24","8.54","1.96",".241","1.27",".273","82.1%","0.95","15.1%","41.3%","43.6%","9.2%","17.3%","6.5%","0.0%","4.73","33.4%","67.0%","48.4%","60.8%","85.9%","76.2%","44.5%","64.6%","11.5%","24.1%","7.4%","3.98","6.23","16.7%","42.2%","28.0%","29.8%","15.6%","41.8%","42.7%","","0","78.0","13549"
"Nick Vincent","- - -","32","3.93","8.35","2.29","3.64","8.84","1.47",".255","1.24",".296","79.5%","1.24","30.0%","38.8%","31.3%","8.0%","18.0%","3.2%","0.0%","4.18","32.2%","71.8%","50.1%","69.5%","83.0%","78.3%","45.2%","68.0%","10.9%","22.1%","6.1%","3.98","4.58","16.0%","32.3%","42.2%","25.5%","14.3%","43.5%","42.2%","","0","55.0","7555"
"Hector Rondon","- - -","32","3.93","7.48","3.42","2.19","8.49","1.77",".244","1.32",".262","84.2%","1.32","16.7%","47.4%","35.8%","2.6%","18.2%","9.8%","0.0%","5.00","31.3%","69.3%","47.1%","62.8%","90.3%","79.6%","41.4%","59.2%","9.6%","19.3%","8.8%","4.59","6.85","10.5%","35.7%","38.0%","26.4%","21.3%","44.9%","33.8%","","0","71.0","2391"
"Kyle Ryan","Cubs","28","3.95","8.41","4.08","2.06","8.53","1.15",".249","1.40",".299","76.7%","2.25","17.4%","57.2%","25.4%","9.8%","17.6%","3.5%","100.0%","4.17","25.6%","69.0%","43.2%","65.2%","86.8%","79.2%","40.7%","60.9%","9.0%","21.9%","10.6%","4.25","4.58","11.3%","42.1%","31.2%","26.7%","18.3%","45.5%","36.1%","","0","70.2","11753"
"Roenis Elias","- - -","30","3.96","8.46","3.24","2.61","8.28","1.80",".234","1.28",".257","64.7%","0.88","26.4%","34.5%","39.2%","15.5%","17.2%","9.8%","50.0%","4.78","30.3%","69.8%","48.5%","68.8%","79.9%","76.2%","46.2%","61.6%","11.6%","21.8%","8.3%","4.40","4.50","13.4%","42.0%","32.0%","26.0%","14.7%","54.0%","31.3%","","0","50.0","12673"
"Brett Martin","Rangers","25","3.99","8.68","3.03","2.86","9.37","0.96",".257","1.38",".313","70.2%","2.00","20.9%","52.7%","26.4%","13.2%","13.2%","7.5%","0.0%","3.95","32.7%","70.5%","50.3%","54.6%","85.3%","74.6%","46.6%","61.1%","12.8%","21.9%","7.6%","3.94","6.20","14.2%","46.0%","35.6%","18.3%","17.3%","43.6%","39.1%","","0","65.1","17369"
"T.J. McFarland","- - -","31","4.02","5.19","2.86","1.82","10.64","0.91",".294","1.50",".323","72.8%","3.35","20.4%","61.3%","18.3%","4.7%","16.3%","6.3%","0.0%","4.31","35.7%","72.2%","48.1%","68.6%","91.0%","80.0%","33.9%","56.8%","9.6%","13.2%","7.3%","4.32","5.58","5.9%","43.9%","34.3%","21.8%","15.1%","41.0%","43.9%","","0","69.1","3237"
"Mychal Givens","Orioles","30","4.03","12.43","3.79","3.28","6.63","1.66",".202","1.16",".266","75.3%","0.87","22.2%","36.3%","41.5%","8.5%","19.7%","9.7%","100.0%","3.63","32.3%","72.3%","50.0%","58.0%","75.1%","69.0%","44.4%","56.9%","15.5%","33.8%","10.3%","3.29","4.74","23.5%","34.9%","34.9%","30.2%","15.1%","52.3%","32.6%","","0","76.0","10430"
"Craig Stammen","Padres","36","4.03","7.78","1.78","4.37","9.19","1.41",".255","1.22",".290","70.7%","1.80","18.9%","52.2%","29.0%","3.5%","17.4%","9.0%","50.0%","3.94","32.0%","66.4%","45.3%","67.1%","90.4%","80.3%","38.7%","65.0%","8.9%","20.4%","4.7%","3.77","4.31","15.8%","44.5%","35.9%","19.6%","17.6%","48.2%","34.2%","","0","96.0","7274"
"Adam Cimber","Indians","29","4.06","6.30","2.80","2.25","8.67","0.98",".248","1.27",".278","73.5%","2.24","18.3%","56.4%","25.2%","7.8%","13.7%","5.3%","0.0%","4.50","36.2%","71.9%","51.7%","72.0%","86.5%","80.8%","43.3%","65.7%","9.9%","16.4%","7.3%","4.37","6.44","9.1%","38.5%","36.1%","25.4%","21.5%","42.9%","35.6%","","0","64.1","15288"
"Michael Feliz","Pirates","27","4.06","11.71","4.37","2.68","6.87","1.72",".206","1.25",".258","78.9%","0.80","20.6%","35.3%","44.1%","10.0%","18.3%","8.3%","66.7%","4.29","31.5%","66.3%","46.0%","61.3%","80.8%","73.0%","41.7%","63.7%","12.4%","30.6%","11.4%","3.78","4.37","19.2%","33.8%","36.7%","29.5%","18.7%","50.4%","30.9%","","0","57.2","11903"
"Joe Kelly","Dodgers","32","4.06","10.46","4.21","2.48","8.43","0.94",".243","1.40",".322","70.1%","3.48","21.9%","60.6%","17.4%","14.8%","22.2%","7.4%","0.0%","3.37","26.9%","58.4%","41.5%","61.1%","84.5%","76.4%","46.5%","55.2%","9.8%","26.6%","10.7%","3.63","5.93","15.9%","38.7%","38.7%","22.6%","24.5%","34.8%","40.7%","","0","57.2","9761"
"Nick Ramirez","Tigers","29","4.07","8.36","3.95","2.11","8.59","1.24",".244","1.39",".286","69.4%","1.37","20.1%","46.2%","33.8%","11.4%","13.9%","8.3%","50.0%","4.68","35.4%","69.2%","46.8%","63.0%","83.4%","73.2%","33.6%","54.9%","12.6%","21.3%","10.1%","4.54","3.16","11.2%","43.7%","34.9%","21.4%","21.0%","37.8%","41.2%","","0","79.2","12575"
"Matt Barnes","Red Sox","30","4.07","14.66","5.59","2.63","7.22","1.28",".211","1.42",".325","76.1%","1.53","23.9%","46.0%","30.1%","6.1%","22.4%","9.3%","50.0%","3.22","33.0%","63.4%","44.2%","50.2%","83.0%","67.5%","36.8%","58.1%","14.4%","36.4%","13.9%","3.49","4.42","22.5%","36.5%","33.5%","29.9%","13.2%","52.7%","34.1%","","0","77.1","12863"
"Colten Brewer","Red Sox","27","4.09","8.86","5.32","1.67","9.55","1.09",".267","1.65",".328","79.4%","1.98","25.1%","49.7%","25.1%","8.2%","16.3%","9.3%","0.0%","4.61","29.5%","64.7%","43.5%","53.5%","86.0%","72.7%","39.9%","55.3%","11.9%","21.4%","12.8%","4.76","4.91","8.6%","47.7%","32.5%","19.8%","16.8%","51.8%","31.5%","","0","66.0","12997"
"Greg Holland","- - -","34","4.10","9.40","5.13","1.83","6.66","1.03",".205","1.31",".256","72.3%","1.36","16.5%","48.1%","35.3%","4.3%","12.8%","3.1%","0.0%","4.75","31.1%","62.3%","42.4%","52.6%","88.2%","71.6%","36.3%","52.5%","12.1%","24.7%","13.5%","4.59","2.05","11.2%","50.4%","30.4%","19.3%","11.1%","48.2%","40.7%","","0","52.2","7196"
"Heath Hembree","- - -","31","4.10","10.25","3.93","2.61","7.69","1.71",".225","1.29",".269","77.2%","0.43","15.0%","25.7%","59.3%","12.0%","12.0%","8.3%","0.0%","5.52","32.8%","72.8%","49.3%","65.4%","81.7%","75.3%","41.3%","58.4%","12.2%","26.6%","10.2%","4.32","3.93","16.4%","41.4%","33.6%","25.0%","17.1%","48.6%","34.3%","","0","52.2","11632"
"Zack Godley","- - -","29","4.11","7.42","3.16","2.35","7.58","1.42",".227","1.19",".252","77.1%","1.22","19.6%","44.2%","36.2%","11.9%","15.3%","6.9%","0.0%","4.83","32.6%","64.9%","45.6%","58.3%","90.2%","76.5%","40.1%","66.7%","10.7%","20.1%","8.6%","4.52","6.32","11.5%","47.0%","29.3%","23.8%","19.5%","47.0%","33.5%","","0","57.0","14862"
"Luis Cessa","Yankees","28","4.12","8.44","3.14","2.69","8.35","1.57",".241","1.28",".276","73.8%","1.37","18.0%","47.4%","34.6%","8.7%","17.4%","7.1%","0.0%","4.46","34.6%","67.3%","47.4%","55.8%","85.9%","72.5%","39.0%","60.2%","13.0%","22.2%","8.3%","4.18","4.61","14.0%","43.2%","31.6%","25.2%","15.8%","48.9%","35.3%","","0","91.2","13345"
"Blake Treinen","- - -","32","4.15","8.80","5.38","1.64","8.19","1.10",".239","1.51",".291","73.7%","1.63","22.9%","47.8%","29.3%","11.7%","15.0%","8.2%","0.0%","4.73","37.6%","67.0%","48.9%","64.2%","87.1%","76.2%","38.3%","62.0%","11.6%","22.1%","13.5%","4.85","3.67","8.6%","49.0%","27.4%","23.6%","16.8%","46.6%","36.5%","","0","73.2","12572"
