"Name","Team","Age","ERA","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","xFIP","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","SIERA","RS/9","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","Start-IP","GS","IP","playerid"
"Evan Marshall","White Sox","30","2.54","8.34","4.10","2.03","7.63","0.85",".228","1.30",".279","84.5%","1.86","20.5%","51.7%","27.8%","12.2%","12.2%","5.5%","0.0%","4.24","39.8%","63.5%","48.2%","67.6%","83.1%","74.8%","35.3%","60.9%","12.1%","22.2%","10.9%","4.38","5.65","11.3%","50.0%","32.0%","18.0%","20.2%","50.6%","29.2%","","0","63.2","12297"
"Jarlin Garcia","- - -","27","2.56","6.49","3.17","2.05","6.64","0.60",".202","1.09",".234","78.2%","1.24","17.5%","45.6%","36.8%","6.3%","6.3%","5.1%","0.0%","5.01","28.6%","66.6%","45.9%","76.3%","86.7%","83.2%","45.6%","51.9%","7.7%","17.8%","8.7%","4.79","4.83","9.1%","41.1%","37.7%","21.1%","15.4%","50.9%","33.7%","","0","59.2","18282"
"Aroldis Chapman","Yankees","32","2.59","13.27","3.97","3.35","6.25","0.61",".188","1.14",".291","75.7%","1.33","28.9%","40.6%","30.5%","15.4%","10.3%","11.5%","50.0%","3.00","32.0%","66.2%","46.9%","57.8%","78.5%","70.5%","43.5%","58.5%","13.8%","35.4%","10.6%","3.17","1.37","24.8%","42.3%","33.9%","23.9%","18.5%","46.9%","34.6%","","0","59.0","10233"
"Roberto Osuna","Astros","25","2.60","9.87","1.56","6.33","6.23","1.04",".188","0.87",".234","80.7%","1.09","22.5%","40.4%","37.1%","13.6%","12.1%","5.6%","0.0%","3.52","36.4%","75.4%","53.5%","54.6%","77.5%","68.8%","44.0%","65.8%","16.7%","28.3%","4.5%","3.19","0.78","23.8%","40.2%","34.6%","25.1%","20.7%","42.5%","36.9%","","0","69.1","13764"
"Yusmeiro Petit","Athletics","35","2.60","7.61","1.21","6.31","6.40","1.21",".197","0.85",".219","84.6%","0.63","20.7%","30.7%","48.7%","11.0%","10.2%","5.0%","25.0%","4.51","33.0%","74.3%","49.5%","68.0%","82.2%","76.5%","40.0%","65.1%","11.6%","22.5%","3.6%","3.95","3.71","19.0%","36.4%","41.3%","22.3%","16.4%","47.6%","36.1%","","0","97.0","4020"
"Ryan Pressly","Astros","31","2.63","12.05","2.22","5.44","6.78","0.83",".202","1.00",".287","77.7%","2.08","28.4%","48.4%","23.2%","5.6%","16.7%","6.7%","0.0%","2.36","40.7%","64.3%","50.9%","46.8%","79.9%","65.0%","43.6%","62.9%","17.8%","33.6%","6.2%","2.67","4.02","27.4%","47.7%","30.3%","21.9%","18.1%","45.2%","36.8%","","0","65.0","7005"
"Nick Wittgren","Indians","29","2.64","9.17","2.39","3.84","7.16","1.38",".214","1.06",".253","84.9%","1.00","24.6%","37.7%","37.7%","9.7%","15.3%","1.4%","50.0%","4.08","29.5%","68.0%","46.9%","72.4%","84.2%","80.1%","45.3%","59.4%","9.3%","25.4%","6.6%","3.72","6.53","18.8%","27.5%","44.0%","28.5%","10.9%","41.5%","47.7%","","0","71.2","15594"
"Seth Lugo","Mets","30","2.69","11.46","1.79","6.39","6.38","0.90",".193","0.91",".266","75.3%","1.16","19.5%","43.3%","37.2%","7.5%","11.3%","7.5%","0.0%","3.18","29.2%","66.9%","46.6%","63.1%","80.7%","74.8%","46.1%","58.5%","11.8%","32.5%","5.1%","2.81","4.68","27.4%","46.3%","31.0%","22.7%","11.6%","55.6%","32.9%","","0","90.1","12447"
"Brandon Kintzler","- - -","35","2.73","7.14","2.08","3.44","7.27","0.91",".216","1.04",".249","81.6%","2.02","16.7%","55.7%","27.6%","8.9%","12.5%","8.8%","0.0%","4.08","31.0%","63.0%","44.5%","71.4%","90.4%","82.7%","42.0%","62.7%","7.7%","19.7%","5.7%","3.87","4.02","14.0%","42.2%","35.3%","22.6%","19.6%","43.1%","37.3%","","0","69.1","9939"
"Adam Kolarek","- - -","30","2.74","7.26","2.19","3.31","7.26","0.96",".215","1.05",".246","80.4%","3.03","16.1%","63.0%","20.8%","7.5%","17.5%","2.5%","50.0%","3.66","36.5%","65.3%","48.1%","67.7%","85.4%","77.4%","40.3%","62.4%","10.9%","19.9%","6.0%","3.54","5.89","13.9%","37.1%","33.5%","29.4%","18.6%","49.0%","32.5%","","0","65.2","10843"
