,Name,wOBA_current_year,preds
0, Mookie Betts,0.449,0.4196505697073165
1, Mike Trout,0.447,0.41771060223484224
9, Trevor Story,0.384,0.39726397864083723
5, Jose Ramirez,0.391,0.3887162650476624
2, J.D. Martinez,0.42700000000000005,0.3825227453442176
4, Alex Bregman,0.396,0.3806739875643282
14, Bryce Harper,0.376,0.3793983505509394
3, Christian Yelich,0.42200000000000004,0.3787940798294268
11, Freddie Freeman,0.37799999999999995,0.37802401273330527
10, Anthony Rendon,0.38299999999999995,0.3765126571749039
20, Francisco Lindor,0.368,0.37508865094878097
38, Andrew Benintendi,0.35700000000000004,0.37320407917397336
13, Eugenio Suarez,0.376,0.37221411588258735
36, Anthony Rizzo,0.359,0.3718613013906783
12, Manny Machado,0.377,0.3708873069623582
66, Matt Olson,0.34,0.36864964155925006
6, Nolan Arenado,0.391,0.3686376214900882
18, Joey Votto,0.37,0.3685615516705308
17, Xander Bogaerts,0.373,0.36679609081245684
7, Paul Goldschmidt,0.39,0.36617240326900224
19, Matt Chapman,0.369,0.36546979637872257
37, Tommy Pham,0.359,0.36457518341002504
26, Jose Altuve,0.363,0.3629078370409963
35, Michael Brantley,0.359,0.3612297293093568
78, Ketel Marte,0.33,0.36107476152429024
23, Mitch Haniger,0.36700000000000005,0.36099391868905034
8, Brandon Nimmo,0.385,0.360792755845192
59, Nick Markakis,0.345,0.3598264145049742
81, Marcell Ozuna,0.327,0.3597035379883643
27, Rhys Hoskins,0.363,0.3588906630691616
58, Cody Bellinger,0.345,0.35864055280376744
24, Javier Baez,0.366,0.35776716472629927
39, Jose Martinez,0.35600000000000004,0.3573327347169812
30, Miguel Andujar,0.361,0.3570219027050407
15, Matt Carpenter,0.375,0.356538267903919
28, Nicholas Castellanos,0.363,0.3560296288801566
34, Lorenzo Cain,0.359,0.35478360037070633
43, J.T. Realmuto,0.353,0.3547358051895961
53, Andrew McCutchen,0.34700000000000003,0.3545888808473195
33, Giancarlo Stanton,0.36,0.3541248010911596
21, David Peralta,0.368,0.3537423379526754
67, George Springer,0.34,0.3532596499248537
57, Eduardo Escobar,0.34600000000000003,0.35316794852340644
60, Joey Gallo,0.34299999999999997,0.3531307194566842
48, Whit Merrifield,0.349,0.3521118317787353
42, Gregory Polanco,0.353,0.35208427887637567
62, Michael Conforto,0.342,0.35111357557177725
72, Josh Bell,0.336,0.3507988526038523
25, Khris Davis,0.365,0.35023979309235725
32, Aaron Hicks,0.36,0.3499337589293285
74, Carlos Santana,0.33299999999999996,0.3496796837209449
41, Ben Zobrist,0.355,0.3496075653168527
22, Charlie Blackmon,0.368,0.34950774510098087
46, Travis Shaw,0.35100000000000003,0.34906812826071004
50, Justin Upton,0.348,0.34855333761976653
63, Jurickson Profar,0.341,0.348003456520123
92, DJ LeMahieu,0.322,0.3478213519793132
52, Jed Lowrie,0.34700000000000003,0.3471156942482224
73, Chris Taylor,0.335,0.3470771677044048
45, Stephen Piscotty,0.35100000000000003,0.3467538587854831
77, Trea Turner,0.331,0.34657509549990834
107, Jackie Bradley Jr.,0.31,0.34606565208949636
99, Max Kepler,0.316,0.3455255031190938
64, Corey Dickerson,0.341,0.34529996348469433
87, Ozzie Albies,0.324,0.34520124626287
70, Jose Abreu,0.337,0.3450341036028481
75, Brian Anderson,0.33299999999999996,0.3443091771051702
61, Kyle Schwarber,0.34299999999999997,0.3442881574293532
85, Rougned Odor,0.325,0.34320252859524797
105, Yoan Moncada,0.311,0.34299957123256486
80, Teoscar Hernandez,0.32799999999999996,0.34236663506331994
88, Nomar Mazara,0.324,0.3422663372180385
29, Scooter Gennett,0.36200000000000004,0.3419797634915561
51, Matt Kemp,0.348,0.3417349464441883
96, Jose Peraza,0.319,0.34085129580365187
112, Marcus Semien,0.307,0.3402735633140124
31, Nelson Cruz,0.361,0.3396110096617913
71, Starling Marte,0.337,0.3396107093597348
117, Salvador Perez,0.304,0.3393834329152996
16, Jesus Aguilar,0.374,0.3387790616281434
69, Joey Wendle,0.33799999999999997,0.3386208490635218
84, Andrelton Simmons,0.326,0.33820518921114795
82, Jean Segura,0.327,0.3377545835343516
40, Shin-Soo Choo,0.355,0.3371758950250862
89, Yuli Gurriel,0.32299999999999995,0.33683556050536684
97, Joe Mauer,0.319,0.33665412180086707
55, Johan Camargo,0.34600000000000003,0.3366424925559559
100, Starlin Castro,0.315,0.3364637419670202
47, Didi Gregorius,0.35,0.33579531272779245
65, Eddie Rosario,0.34,0.3351624271673101
54, C.J. Cron,0.34700000000000003,0.33502566761190783
