,Name,wOBA_current_year,preds
68, Mallex Smith,0.33899999999999997,0.3349625382870782
90, Matt Duffy,0.32299999999999995,0.33454944446168544
49, Justin Smoak,0.349,0.33425166303571624
79, Mike Moustakas,0.32899999999999996,0.33409505575124404
56, Edwin Encarnacion,0.34600000000000003,0.33391531984898454
109, Ender Inciarte,0.308,0.3337967346044558
91, Yadier Molina,0.32299999999999995,0.3306264393901534
128, Dansby Swanson,0.293,0.3303392481003366
94, Cesar Hernandez,0.32,0.32935895489369876
76, Asdrubal Cabrera,0.332,0.32931773708991
123, Yolmer Sanchez,0.297,0.32856389279402876
106, Jeimer Candelario,0.311,0.32840175949871975
130, Manuel Margot,0.28800000000000003,0.328300937379846
83, Derek Dietrich,0.326,0.32807665142194986
115, Brett Gardner,0.305,0.3278738163781558
44, Yasmani Grandal,0.35200000000000004,0.3277497442969319
131, Kyle Seager,0.28800000000000003,0.3265307670471505
125, Evan Longoria,0.295,0.32562875721923645
133, Kole Calhoun,0.28300000000000003,0.3254474937609579
102, Ian Desmond,0.315,0.32481829541582463
132, Yangervis Solarte,0.284,0.32342673492320584
129, Amed Rosario,0.29,0.3233471244114391
113, Tucker Barnhart,0.307,0.3227734457919863
98, Marwin Gonzalez,0.318,0.3227435449792219
93, Willson Contreras,0.321,0.32228100702186896
111, Trey Mancini,0.308,0.32226323900412224
121, Nick Ahmed,0.3,0.3205429317251089
119, Kevin Pillar,0.302,0.3201618696080814
122, Ian Kinsler,0.298,0.31915213015192645
127, Freddy Galvis,0.294,0.31899519772791884
116, Alex Gordon,0.305,0.317367576520274
124, Ryon Healy,0.29600000000000004,0.3171632750773543
101, Adam Jones,0.315,0.3156538821607552
114, Brandon Crawford,0.306,0.3156445620796739
103, Odubel Herrera,0.315,0.31375417680698303
104, Jonathan Villar,0.312,0.3135861087513451
108, Eric Hosmer,0.309,0.3134620268933319
86, Justin Bour,0.324,0.3122201064838444
95, Yonder Alonso,0.319,0.3122089044433799
110, Jason Kipnis,0.308,0.3120909895512029
126, Tim Anderson,0.294,0.3110132886582194
118, Brian Dozier,0.304,0.30888026071802266
135, Victor Martinez,0.281,0.3072049749298263
134, Miguel Rojas,0.282,0.30490412595059546
120, Jon Jay,0.301,0.3018367764202292
138, Alcides Escobar,0.261,0.29674025109097857
139, Chris Davis,0.239,0.29497427532498594
136, Billy Hamilton,0.27699999999999997,0.28881855202730916
137, Dee Gordon,0.27699999999999997,0.28705483435372753
