,Name,wOBA_current_year,preds
86, Neil Walker,0.35200000000000004,0.34358153571744476
100, Raimel Tapia,0.344,0.34352273910662456
136, Adalberto Mondesi,0.331,0.3433028107603129
206, Ramon Laureano,0.29600000000000004,0.34327732180412873
84, Ryan Braun,0.35200000000000004,0.3432583003340891
132, Nick Senzel,0.33299999999999996,0.34322354325954896
93, Pedro Severino,0.348,0.3430995495088808
177, Corey Seager,0.309,0.34294810955458294
204, Christin Stewart,0.297,0.3428542404098439
187, Yuli Gurriel,0.306,0.342798494680484
131, Gregory Polanco,0.33399999999999996,0.34278031897673167
125, Kole Calhoun,0.336,0.34240264298766543
237, Jose Ramirez,0.272,0.3423555954396253
115, Christian Vazquez,0.33899999999999997,0.3420324649000315
183, Joe Panik,0.308,0.3419523034436915
146, Wil Myers,0.326,0.34172984557149566
147, Jason Heyward,0.325,0.3414652407564431
220, JaCoby Jones,0.284,0.34141263077507256
60, Alex Gordon,0.363,0.34136952890470446
98, Melky Cabrera,0.345,0.34131282648377204
120, Mitch Haniger,0.337,0.34116072048929263
158, Ian Desmond,0.319,0.3410048308217008
101, Jonathan Schoop,0.344,0.3409553284885157
114, Eric Thames,0.33899999999999997,0.34094621631614935
222, Niko Goodrum,0.284,0.34079121695782655
153, Nick Ahmed,0.322,0.3407252118895159
182, Joey Votto,0.308,0.3403929204202545
208, Brian Anderson,0.295,0.3402074574375796
134, Stephen Piscotty,0.332,0.34020141646232843
148, Jorge Soler,0.325,0.340010564504654
227, Ryan O'Hearn,0.27899999999999997,0.33977087584246857
46, Jake Marisnick,0.373,0.33944555329055276
152, Jay Bruce,0.32299999999999995,0.3389933319340118
118, Jose Iglesias,0.33799999999999997,0.33883301467652394
203, Enrique Hernandez,0.298,0.33879082940706207
159, Jonathan Villar,0.319,0.33874602867016124
200, Marwin Gonzalez,0.3,0.3387345029248607
119, Khris Davis,0.337,0.3384279980144298
181, Amed Rosario,0.308,0.3381859058467833
141, Brian McCann,0.32899999999999996,0.33779306392319647
123, Greg Garcia,0.337,0.3376154629471226
212, Adam Frazier,0.292,0.3375888123824757
198, Evan Longoria,0.301,0.3371790000375132
162, Chad Pinder,0.318,0.33701518746522774
243, Kendrys Morales,0.26899999999999996,0.33701324680090194
186, Kevin Kiermaier,0.307,0.33701037385007276
163, Andrelton Simmons,0.317,0.3368256799775639
185, Ryan Cordell,0.308,0.33675296807940164
217, Jake Bauers,0.28600000000000003,0.33670073361391595
246, A.J. Pollock,0.266,0.33628198001821824
195, Daniel Murphy,0.303,0.33579115544722077
96, Eric Hosmer,0.34700000000000003,0.3351574632802959
165, Austin Barnes,0.316,0.335149058725356
214, Rio Ruiz,0.292,0.33460946125790675
109, Tyler Flowers,0.342,0.3343738134377844
176, Ryon Healy,0.31,0.33417351679343243
264, Starlin Castro,0.248,0.3340734524041325
106, Eric Sogard,0.342,0.33369520421211835
180, Mike Tauchman,0.309,0.3336905717347915
160, Adam Eaton,0.318,0.3332580577732638
233, Willians Astudillo,0.27699999999999997,0.3331002303246563
111, Adam Jones,0.34,0.333081551024226
174, Ronny Rodriguez,0.311,0.333028737529503
188, Albert Almora Jr.,0.305,0.3329734138326707
68, Robinson Chirinos,0.36,0.3324242553302072
242, Maikel Franco,0.27,0.33190654951717985
202, Randal Grichuk,0.298,0.3317642516300115
209, Buster Posey,0.294,0.3317550375358485
155, Miguel Cabrera,0.322,0.3316849730638787
133, Kurt Suzuki,0.332,0.3314414645332154
170, Wilmer Flores,0.313,0.3313259418869276
149, Jorge Alfaro,0.324,0.33106133383192726
229, Yasiel Puig,0.278,0.3308665176290144
235, Eloy Jimenez,0.275,0.3303730829383069
197, Lorenzo Cain,0.301,0.33005335494001375
207, Isiah Kiner-Falefa,0.295,0.32930964191647216
226, Delino DeShields,0.28,0.3292619463959836
194, Kolten Wong,0.303,0.3290527406371528
137, Brett Gardner,0.331,0.3289428703028268
175, Albert Pujols,0.311,0.3281662216774336
205, Leury Garcia,0.297,0.32763616058285683
166, Tony Wolters,0.316,0.327395497739487
150, Victor Robles,0.32299999999999995,0.32737451230914066
221, Robinson Cano,0.284,0.3272488939999669
267, Rougned Odor,0.247,0.32685994865679646
184, Colin Moran,0.308,0.32605864011282015
210, Yadier Molina,0.294,0.3259532819969378
113, Tim Beckham,0.34,0.32588322828775296
201, Willy Adames,0.299,0.32587345341219054
157, Roberto Perez,0.32,0.32560312642080175
190, Asdrubal Cabrera,0.304,0.3255344895125853
196, Brandon Nimmo,0.302,0.32521171796072135
117, Jarrod Dyson,0.33799999999999997,0.3249970960680657
167, Freddy Galvis,0.314,0.3248445577435894
241, Tyler White,0.27,0.3243869071749974
173, Starling Marte,0.312,0.32418040010441795
224, Curtis Granderson,0.282,0.3240870549102946
189, Hanser Alberto,0.305,0.3232870328791053
191, Mark Reynolds,0.304,0.32310259984460293
254, Jose Peraza,0.256,0.3230540791404592
179, Wilson Ramos,0.309,0.32226963546112364
232, Jason Kipnis,0.27699999999999997,0.32169626688585695
192, Chris Taylor,0.303,0.3214937347905521
247, Jurickson Profar,0.265,0.3214056488371065
256, Jeimer Candelario,0.254,0.32132693269693985
259, Manuel Margot,0.252,0.3213182554821555
216, Yan Gomes,0.29100000000000004,0.32112191043002003
244, Martin Maldonado,0.26899999999999996,0.3206067677033645
230, Tucker Barnhart,0.278,0.3205769343520358
268, Teoscar Hernandez,0.245,0.3196502562266829
169, Orlando Arcia,0.314,0.31950435133333166
219, Brian Dozier,0.284,0.3189136719192101
178, Hernan Perez,0.309,0.3189131882979155
265, Johan Camargo,0.247,0.31859803380413904
239, Steven Duggar,0.271,0.31850709677362615
250, Yonder Alonso,0.261,0.31821961169179774
228, Billy McKinney,0.27899999999999997,0.31791478067472356
218, Joey Rickard,0.285,0.31784366304832157
273, Danny Jansen,0.218,0.31690763038445596
223, Gerardo Parra,0.282,0.31646978013597465
252, Justin Bour,0.26,0.3162833942838443
236, Odubel Herrera,0.27399999999999997,0.3160826825024864
238, Brandon Drury,0.272,0.315500828693098
225, Daniel Robertson,0.28,0.3152393388749512
234, Austin Hedges,0.276,0.3151124497362754
270, Travis Shaw,0.242,0.31478492928187257
245, Jesus Aguilar,0.266,0.31449174088851956
276, Cole Tucker,0.191,0.3135823241366417
255, Daniel Descalso,0.254,0.31341578610389315
262, Jackie Bradley Jr.,0.251,0.31314228726194515
231, Yolmer Sanchez,0.27699999999999997,0.3112828203367309
258, Kevin Pillar,0.252,0.31012236114427033
215, Todd Frazier,0.292,0.3093058700912294
211, Leonys Martin,0.293,0.3089495775359292
213, Dee Gordon,0.292,0.3080736439677099
263, Chris Davis,0.251,0.30637099989178895
274, Josh Harrison,0.21100000000000002,0.30614473962335514
257, Brandon Crawford,0.253,0.30565104253951436
240, Ender Inciarte,0.27,0.3021814675231637
249, Ian Kinsler,0.262,0.30144406349554453
253, Wilmer Difo,0.258,0.2999310980515739
269, Francisco Cervelli,0.243,0.2989119595031192
260, Martin Prado,0.251,0.298883463019821
272, Juan Lagares,0.228,0.29855424958137816
271, Grayson Greiner,0.23399999999999999,0.2928847380822272
266, Mallex Smith,0.247,0.29190917897128277
261, Carlos Gonzalez,0.251,0.2903346646494271
275, Chris Owings,0.191,0.28904232599740953
