last_name, first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Buxton, Byron,621439,142,MIN,CF,23,97,,30.8
Mondesi, Adalberto,609275,118,KC,2B,21,44,,30.2
Hamilton, Billy,571740,113,CIN,CF,26,181,,30.2
Margot, Manuel,622534,135,SD,CF,22,24,,30.1
Turner, Trea,607208,120,WSH,CF,23,121,,30.0
Quinn, Roman,596451,143,PHI,LF,23,27,,30.0
Brito, Socrates,593647,109,ARI,CF,24,33,,29.9
Broxton, Keon,542979,158,MIL,CF,26,77,,29.8
Stubbs, Drew,453211,110,BAL,RF,32,19,,29.7
DeShields, Delino,592261,140,TEX,CF,24,87,,29.7
Gordon, Dee,543829,146,MIA,2B,28,171,,29.6
Difo, Wilmer,594694,120,WSH,2B,24,30,,29.6
Orlando, Paulo,449181,118,KC,RF,31,223,,29.6
Gentry, Craig,502226,108,LAA,LF,33,23,,29.6
Story, Trevor,596115,115,COL,SS,24,109,,29.6
Bourjos, Peter,488721,143,PHI,RF,29,175,,29.5
Smith, Mallex,605480,144,ATL,CF,23,93,,29.5
Jankowski, Travis,608671,135,SD,CF,25,160,,29.5
Hernandez, Cesar,514917,143,PHI,2B,26,275,,29.5
Hazelbaker, Jeremy,571757,138,STL,LF,29,81,,29.4
O'Malley, Shawn,502523,136,SEA,SS,29,91,,29.4
Hernandez, Teoscar,606192,117,HOU,LF,24,45,,29.4
Kiermaier, Kevin,595281,139,TB,CF,26,175,,29.4
Toles, Andrew,592808,119,LAD,LF,24,68,,29.3
Ladendorf, Tyler,502285,133,OAK,2B,28,21,,29.3
Burns, Billy,542993,118,KC,CF,27,176,,29.3
Spangenberg, Cory,605486,135,SD,2B,25,29,,29.3
Rivera, Yadiel,592680,158,MIL,2B,24,27,,29.2
Marisnick, Jake,545350,117,HOU,CF,25,112,,29.1
Diaz, Aledmys,649557,138,STL,SS,26,210,,29.1
Lake, Junior,516809,141,TOR,RF,26,25,,29.1
Garcia, Avisail,541645,145,CWS,DH,25,183,,29.1
Reed, Michael,605439,158,MIL,CF,24,14,,29.1
d'Arnaud, Chase,488818,144,ATL,SS,29,102,,29.1
Taylor, Chris,621035,119,LAD,2B,26,28,,29.1
McCutchen, Andrew,457705,134,PIT,CF,30,177,,29.1
Cain, Lorenzo,456715,118,KC,CF,30,183,,29.1
Merrifield, Whit,593160,118,KC,2B,27,138,,29.0
Hernandez, Marco,593523,111,BOS,3B,24,39,,29.0
Gosselin, Phil,594838,109,ARI,2B,28,102,,29.0
Owings, Chris,572008,109,ARI,SS,25,216,,28.9
Trout, Mike,545361,108,LAA,CF,25,244,,28.9
Presley, Alex,502100,116,DET,RF,31,50,,28.9
Davis, Rajai,434658,114,CLE,CF,36,220,,28.9
Robinson, Shane,453203,108,LAA,LF,32,55,,28.9
Lawrie, Brett,543434,145,CWS,2B,26,139,,28.9
Yelich, Christian,592885,146,MIA,LF,25,282,,28.9
Marte, Starling,516782,134,PIT,LF,28,234,,28.9
Lagares, Juan,501571,121,NYM,CF,27,62,,28.9
Shuck, JB,543776,145,CWS,CF,29,118,,28.9
Rutledge, Josh,592710,111,BOS,3B,27,26,,28.9
Baez, Javier,595879,112,CHC,2B,24,207,,28.9
Holt, Tyler,534627,113,CIN,CF,27,91,,28.8
Maybin, Cameron,457727,116,DET,CF,29,210,,28.8
Peraza, Jose,606299,113,CIN,SS,22,109,,28.8
Bonifacio, Emilio,466988,144,ATL,LF,31,17,,28.8
Dyson, Jarrod,502481,118,KC,CF,32,167,,28.8
Gomez, Carlos,460576,140,TEX,CF,31,153,,28.8
Polanco, Jorge,593871,142,MIN,SS,23,87,,28.8
Altherr, Aaron,571437,143,PHI,RF,25,84,,28.8
Anderson, Tim,641313,145,CWS,SS,23,192,,28.8
Realmuto, J.T.,592663,146,MIA,C,25,242,,28.8
Haniger, Mitch,571745,109,ARI,CF,26,36,,28.8
Swanson, Dansby,621020,144,ATL,SS,22,52,,28.8
Pirela, Jose,517369,135,SD,2B,27,17,,28.8
Peterson, Jace,607054,144,ATL,2B,26,188,,28.8
Souza Jr., Steven,519306,139,TB,RF,27,143,,28.7
Nimmo, Brandon,607043,121,NYM,LF,23,31,,28.7
Taylor, Michael A.,572191,120,WSH,CF,25,80,,28.7
Gardner, Brett,458731,147,NYY,LF,33,286,,28.7
Goeddel, Tyler,595963,143,PHI,LF,24,99,,28.6
Pollock, A.J.,572041,109,ARI,CF,29,16,,28.6
Hoying, Jared,592419,140,TEX,LF,27,20,,28.6
Pham, Tommy,502054,138,STL,CF,28,56,,28.6
Wendle, Joey,621563,133,OAK,2B,26,50,,28.6
Benintendi, Andrew,643217,111,BOS,LF,22,58,,28.6
Desmond, Ian,435622,140,TEX,CF,31,306,,28.6
Saladino, Tyler,573135,145,CWS,2B,27,140,,28.5
