,Name,wOBA_current_year,preds,PA
196,Mike Ford,0.324,0.35294562861507683,210
164,Jurickson Profar,0.33299999999999996,0.3527349024061698,474
153,Adam Eaton,0.337,0.35268141848599965,579
252,Carson Kelly,0.312,0.35258690907988516,355
115,Jason Heyward,0.34700000000000003,0.3523975428256356,528
66,Starling Marte,0.366,0.3523612400324015,577
351,Jake Lamb,0.29,0.352008281819271,270
127,Byron Buxton,0.34299999999999997,0.3515706191828684,220
135,JaCoby Jones,0.341,0.35124970787675014,288
62,Luis Guillorme,0.368,0.35122624824905724,108
93,Lourdes Gurriel Jr.,0.35700000000000004,0.3511958037251416,451
284,Jason Castro,0.305,0.3511690903302394,260
176,Asdrubal Cabrera,0.32899999999999996,0.3511525934602003,509
150,Eric Thames,0.33799999999999997,0.3509491487753135,442
162,Kole Calhoun,0.33399999999999996,0.35087940073544127,597
130,Ty France,0.342,0.35076722033289076,215
202,Billy McKinney,0.32299999999999995,0.35055026096068026,126
19,Tim Anderson,0.386,0.35045270464925204,497
145,Hunter Dozier,0.33899999999999997,0.35044364569054864,516
393,Curtis Granderson,0.275,0.3500712972685646,199
157,Austin Meadows,0.336,0.34983861174263436,575
246,Yoshitomo Tsutsugo,0.313,0.34982681443651636,144
141,Tommy La Stella,0.34,0.3496742159890799,315
116,Corey Dickerson,0.34700000000000003,0.3494392363412585,429
82,Anthony Rizzo,0.359,0.34939474207386095,589
78,Cameron Maybin,0.361,0.34928811610132005,259
266,Austin Dean,0.309,0.3491787161821909,148
102,Jose Altuve,0.354,0.3491704200914818,547
253,Yan Gomes,0.312,0.348994686816069,312
264,Rougned Odor,0.309,0.3489458681908244,523
214,LaMonte Wade Jr.,0.321,0.3488003616315066,105
158,Bryan Reynolds,0.33399999999999996,0.34840366230093606,584
97,Gleyber Torres,0.35600000000000004,0.3481837007659337,499
174,Shin-Soo Choo,0.32899999999999996,0.3481559406154297,560
146,Franmil Reyes,0.33899999999999997,0.34814143875840825,550
80,Mike Brosseau,0.36,0.3479941178550698,218
46,Kyle Lewis,0.373,0.347983241427771,275
95,Mitch Moreland,0.35600000000000004,0.3479650373651418,289
94,Matt Joyce,0.35600000000000004,0.34772148686086063,294
68,Keston Hiura,0.366,0.34764143043247153,498
111,Alex Verdugo,0.349,0.3472654598069576,397
96,Tom Murphy,0.35600000000000004,0.3471833378684432,215
122,Carlos Correa,0.345,0.3471715699004826,292
186,Matt Beaty,0.326,0.34673497345347754,282
209,Nick Markakis,0.322,0.3463442017860981,348
167,Willy Adames,0.331,0.34621630416114846,556
140,Luis Arraez,0.34,0.34613423859363296,449
272,Lorenzo Cain,0.308,0.3459412320337254,394
100,Aristides Aquino,0.354,0.34582702233559914,261
183,Jake Cave,0.326,0.3457814481441432,283
104,Miguel Rojas,0.353,0.34564532402522496,428
422,Tyler Austin,0.25,0.3456146810160382,106
