last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Fried, Max,608331,83,0.9,31.3,122.2,86.9,95.9,82.4,456,132,422,31,37.3,3,3.6,2.5
Tillman, Chris,501957,326,12.5,37.1,121.1,89.9,94.5,85.7,454,186,407,133,40.8,28,8.6,6.3
Abad, Fernando,472551,130,11.9,31.5,119.8,86.8,90.5,84.3,415,163,393,33,25.4,6,4.6,3.3
Gausman, Kevin,592332,561,11.5,37.8,119.4,87.3,92.0,83.5,450,175,405,188,33.6,46,8.2,5.6
Hendricks, Kyle,543294,405,7.6,32.8,119.0,83.9,91.6,78.5,440,155,398,118,29.3,18,4.4,3.2
Ramirez, Erasmo,541640,397,12.0,33.5,118.7,88.1,93.6,82.5,456,177,408,140,35.5,30,7.6,5.6
Brothers, Rex,571521,59,10.9,35.6,118.7,88.7,92.1,85.3,467,185,412,20,33.9,3,5.1,2.9
Sabathia, CC,282332,448,6.2,32.4,118.5,84.0,90.8,80.1,470,154,392,129,28.9,18,4.0,2.9
Happ, J.A.,457918,438,8.4,33.3,118.4,85.4,91.9,80.0,456,161,399,134,30.7,19,4.3,3.0
Samardzija, Jeff,502188,604,11.9,36.1,118.4,86.9,92.0,82.5,471,175,388,202,33.4,38,6.3,4.5
Neal, Zach,594943,54,13.6,42.6,118.3,87.4,92.0,83.4,435,191,414,15,27.8,5,9.3,7.7
Stroman, Marcus,573186,602,0.4,24.8,118.3,88.5,93.4,86.5,484,121,407,231,38.4,31,5.1,3.7
Wood, Travis,475243,324,14.9,38.3,118.2,87.8,92.0,83.7,462,194,394,119,37.1,25,7.7,5.7
Haley, Justin,595234,60,13.1,43.3,118.0,87.1,89.3,85.6,442,172,413,21,35.0,3,5.0,3.7
Cashner, Andrew,488768,545,10.4,32.3,117.7,86.8,91.2,84.2,437,158,401,176,32.3,21,3.9,3.0
Lynn, Lance,458681,535,10.9,32.3,117.6,85.7,91.5,81.3,442,172,396,146,27.3,31,5.8,4.0
Gonzalez, Gio,461829,553,10.7,29.5,117.3,84.9,91.6,80.2,476,164,411,154,27.9,27,4.9,3.3
Cobb, Alex,502171,564,8.9,31.6,117.2,87.8,92.2,84.9,441,164,401,198,35.1,34,6.0,4.6
Scahill, Rob,543746,74,5.3,23.0,117.2,91.0,96.3,87.9,448,154,405,30,40.5,6,8.1,6.2
Kuhl, Chad,641771,460,10.8,36.7,117.1,87.9,93.1,83.8,452,181,394,177,38.5,26,5.7,3.8
Gsellman, Robert,607229,417,5.4,33.6,117.0,84.7,91.7,79.7,457,159,402,130,31.2,20,4.8,3.6
Graveman, Kendall,608665,338,5.8,31.1,116.8,88.9,94.6,84.9,444,160,406,133,39.3,21,6.2,4.7
Goeddel, Erik,592340,78,13.4,32.1,116.7,88.8,95.8,84.4,406,173,386,30,39.0,9,11.5,7.4
Walker, Taijuan,592836,467,9.2,30.2,116.7,88.0,92.6,84.8,449,166,411,161,34.5,24,5.1,3.5
Newcomb, Sean,656794,285,8.9,34.7,116.7,87.2,92.4,82.5,435,162,397,96,33.7,15,5.3,3.3
Weaver, Luke,596133,162,7.2,33.3,116.5,85.7,92.4,80.6,428,149,399,55,34.2,9,5.6,3.6
Diaz, Jumbo,471822,93,18.9,26.9,116.5,85.9,93.2,81.2,406,179,395,32,35.2,6,6.5,4.4
Jackson, Edwin,429719,250,15.8,34.0,116.3,86.0,92.8,79.5,448,188,404,81,32.4,23,9.2,6.8
Karns, Nate,501992,122,10.0,30.3,116.3,88.0,95.3,82.3,462,194,424,46,38.0,13,10.7,6.9
Richards, Garrett,572070,74,5.0,31.1,116.2,86.1,94.4,81.4,490,149,490,21,28.8,3,4.1,2.8
Biagini, Joe,607352,376,5.2,29.3,116.2,85.6,92.0,82.0,420,144,390,117,31.2,20,5.3,3.9
Loup, Aaron,571901,166,3.8,31.3,116.2,82.7,87.6,79.5,419,142,386,45,27.1,5,3.0,1.9
Bell, Chad,518445,202,8.9,35.6,116.2,88.3,92.4,85.6,425,174,400,83,41.1,17,8.4,5.8
Manaea, Sean,640455,486,12.4,32.3,116.2,88.9,93.1,86.8,434,167,397,199,40.9,28,5.8,4.0
