,Name,ERA_current_year,SIERA,preds,IP
77,Junior Guerra,3.54,4.63,3.7023250325342776,96.2
148,Blaine Hardy,4.47,4.8,3.7051068125907607,44.1
103,Ty Buttrey,3.87,3.9,3.708371720126872,88.1
41,David Hale,3.09,4.33,3.7108426073296856,43.2
129,Jesus Tinoco,4.17,5.59,3.711798083708136,41.0
134,Jeremy Jeffress,4.27,4.38,3.7151419593082533,65.1
31,A.J. Cole,2.88,4.05,3.718139409762619,40.2
81,Mark Melancon,3.58,3.39,3.73044248194182,78.0
153,Wander Suero,4.54,3.72,3.731691579290321,83.1
68,John Gant,3.4,4.56,3.7326460596511803,76.2
18,Jarlin Garcia,2.56,4.79,3.7377876552731553,59.2
23,Nick Wittgren,2.64,3.72,3.7420319002404705,71.2
143,Javy Guerra,4.41,4.52,3.7478355399066765,79.2
219,Jorge Lopez,6.32,3.88,3.749691489552829,47.0
121,Nick Ramirez,4.07,4.54,3.755026525386104,79.2
144,Jairo Diaz,4.41,4.07,3.761089512007153,69.1
83,Hansel Robles,3.59,3.61,3.767622113492805,82.2
123,Colten Brewer,4.09,4.76,3.775412983958356,66.0
107,Buck Farmer,3.91,4.03,3.7769063943858865,76.0
168,Chris Stratton,4.83,4.04,3.778323634826389,69.0
156,Anthony Swarzak,4.56,4.65,3.7784830503349967,53.1
191,Shawn Armstrong,5.12,4.41,3.778513277392985,70.1
188,Taylor Cole,5.08,4.43,3.7849056426790826,44.1
102,Jared Hughes,3.86,4.28,3.785538592811272,84.0
215,Dominic Leone,5.94,4.16,3.787283322491883,47.0
99,Blake Parker,3.84,3.98,3.7900651845917213,65.2
45,Ranger Suarez,3.14,3.74,3.793352648615994,48.2
157,Wade LeBlanc,4.57,4.6,3.7946938022860133,84.2
66,Jalen Beeks,3.4,4.21,3.800474989359791,111.1
192,Wilmer Font,5.13,3.61,3.8032666491021807,59.2
108,Framber Valdez,3.92,4.59,3.8033710775551333,41.1
75,Josh Tomlin,3.49,4.27,3.808310639931714,87.2
181,Justin Shafer,4.96,5.33,3.8160278971557724,45.1
179,Ryan Brasier,4.95,4.09,3.818960663630208,67.1
113,Roenis Elias,3.96,4.4,3.825539060448053,50.0
114,Brett Martin,3.99,3.94,3.8303781276194395,65.1
15,Alex Colome,2.49,4.3,3.8362061583808535,72.1
52,Jake Newberry,3.21,5.11,3.8362752105021682,42.0
141,Derek Holland,4.35,4.77,3.847410495101922,49.2
207,Wandy Peralta,5.63,4.52,3.8478846795445474,54.1
91,Ryan Weber,3.74,3.96,3.848467350548326,43.1
205,Jose Ruiz,5.58,5.4,3.8511045440674723,40.1
171,Victor Alcantara,4.85,5.1,3.8550553369071445,42.2
182,Yency Almonte,4.97,4.42,3.8600971388240235,50.2
217,Tayron Guerrero,6.26,5.75,3.861917373009612,46.0
187,Gabriel Ynoa,5.05,4.23,3.872911442278409,46.1
110,Nick Vincent,3.93,3.98,3.873876808701433,55.0
152,Ryne Harper,4.52,3.81,3.889524756934307,67.2
27,Casey Sadler,2.78,4.79,3.9134119390747664,55.0
227,Jeffrey Springs,7.46,5.12,3.9212548781452616,41.0
210,Juan Nicasio,5.73,4.6,3.925399841388572,48.2
197,Chad Bettis,5.36,4.1,3.926657214108341,50.1
190,Richard Bleier,5.1,3.79,3.9274390239479002,60.0
132,Jake McGee,4.25,4.0,3.9276711030230063,53.0
185,Adrian Sampson,5.01,5.03,3.9340190723723207,46.2
198,A.J. Minter,5.4,4.7,3.939437149013329,40.0
136,Mike Morin,4.28,5.1,3.942643820822774,54.2
211,Robbie Erlin,5.76,3.93,3.9478662847230157,59.1
218,Nick Kingham,6.3,5.09,3.9479605694154847,40.0
48,Ryan Buchter,3.16,4.63,3.962884584294243,51.1
214,Branden Kline,5.93,4.98,3.972067853544009,41.0
226,Geoff Hartlieb,7.42,4.63,3.97232138424377,47.1
150,Kevin McCarthy,4.48,4.63,4.00170309026826,66.1
184,Jesse Chavez,5.01,4.41,4.0099725018892585,59.1
180,Trevor Cahill,4.96,4.8,4.0108237543675616,49.0
229,David Hernandez,8.02,4.08,4.015938338162286,42.2
230,Wade Davis,9.13,5.47,4.022925988801223,45.1
221,Adam Conley,6.53,4.97,4.026119583135858,60.2
178,Shawn Kelley,4.94,4.3,4.0340077085653965,47.1
206,Joe Biagini,5.61,4.44,4.046650395783855,69.0
220,Bryan Shaw,6.35,4.84,4.047437636012387,78.0
228,Matt Grace,7.69,4.45,4.058152315165213,45.2
92,Zack Littell,3.74,4.39,4.061836702421005,43.1
224,Wei-Yin Chen,6.59,4.25,4.103845184547597,68.1
225,Jacob Barnes,6.65,4.65,4.10819297169282,43.1
115,T.J. McFarland,4.02,4.32,4.138270631934152,69.1
88,Yoan Lopez,3.66,4.53,4.153353405719524,71.1
213,Wily Peralta,5.8,5.58,4.3467290290773315,40.1
